SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19968,12,20,0
19953,21,24,2
19932,35,28,5
19904,53,35,8
19872,74,43,11
19832,90,63,15
19775,122,81,22
19701,159,113,27
19591,217,159,33
19444,300,205,51
19267,389,271,73
19011,544,332,113
18737,666,450,147
18345,849,599,207
17851,1106,759,284
17197,1441,973,389
16450,1785,1249,516
15494,2203,1642,661
14391,2706,2014,889
13188,3103,2565,1144
11757,3620,3136,1487
10254,4098,3761,1887
8774,4438,4361,2427
7288,4713,4975,3024
5923,4740,5687,3650
4678,4626,6287,4409
3642,4308,6781,5269
2780,3986,7090,6144
2092,3485,7309,7114
1569,3040,7316,8075
1196,2587,7227,8990
917,2134,7066,9883
727,1775,6686,10812
577,1453,6314,11656
506,1182,5881,12431
442,950,5440,13168
392,784,4960,13864
367,627,4533,14473
355,511,4103,15031
361,412,3721,15506
371,317,3333,15979
375,257,2961,16407
392,203,2660,16745
410,172,2407,17011
435,159,2131,17275
480,126,1863,17531
514,132,1638,17716
546,124,1463,17867
582,106,1304,18008
631,95,1154,18120
671,89,1033,18207
704,84,902,18310
751,88,814,18347
793,74,724,18409
852,70,651,18427
908,73,571,18448
948,71,490,18491
998,67,441,18494
1034,72,408,18486
1079,58,366,18497
1132,54,327,18487
1179,47,289,18485
1234,42,262,18462
1283,46,242,18429
1336,41,221,18402
1390,45,202,18363
1460,46,176,18318
1521,43,159,18277
1571,47,145,18237
1627,40,131,18202
1680,38,125,18157
1743,32,123,18102
1800,24,121,18055
1867,19,107,18007
1939,19,92,17950
2004,17,80,17899
2061,14,79,17846
2110,14,72,17804
2159,20,65,17756
2204,16,64,17716
2262,18,55,17665
2312,19,50,17619
2355,18,43,17584
2410,19,44,17527
2475,19,42,17464
2544,14,42,17400
2607,12,34,17347
2655,12,29,17304
2709,9,26,17256
2751,10,27,17212
2793,9,28,17170
2832,9,25,17134
2889,7,24,17080
2938,5,24,17033
2994,4,26,16976
3041,7,25,16927
3094,8,25,16873
3153,8,25,16814
3199,9,27,16765
3254,12,23,16711
3301,13,25,16661
3348,12,25,16615
3391,11,23,16575
3441,11,23,16525
3494,9,23,16474
3552,9,22,16417
3607,4,24,16365
3653,6,20,16321
3710,6,19,16265
3750,5,18,16227
3796,7,18,16179
3835,7,20,16138
3880,6,21,16093
3920,8,20,16052
3978,11,18,15993
4018,12,18,15952
4058,12,18,15912
4108,12,20,15860
4145,11,17,15827
4194,9,18,15779
4225,6,23,15746
4283,8,19,15690
4318,7,21,15654
4359,6,19,15616
4396,11,20,15573
4438,13,20,15529
4481,11,21,15487
4521,12,22,15445
4562,6,24,15408
4597,9,19,15375
4644,7,20,15329
4683,11,21,15285
4719,10,21,15250
4755,9,22,15214
4798,12,20,15170
4833,17,22,15128
4865,20,21,15094
4889,18,20,15073
4918,16,23,15043
4956,13,30,15001
4992,15,31,14962
5043,15,29,14913
5078,15,28,14879
5116,16,28,14840
5145,17,28,14810
5176,16,26,14782
5213,17,28,14742
5247,15,27,14711
5280,13,29,14678
5311,12,30,14647
5339,22,26,14613
5386,21,27,14566
5434,16,32,14518
5470,18,31,14481
5496,25,34,14445
5533,25,39,14403
5559,25,37,14379
5577,34,41,14348
5613,32,43,14312
5647,38,48,14267
5685,31,54,14230
5706,33,62,14199
5725,41,62,14172
5747,40,64,14149
5787,43,56,14114
5801,44,65,14090
5822,45,75,14058
5849,52,80,14019
5877,51,86,13986
5908,57,81,13954
5922,63,87,13928
5937,64,87,13912
5967,67,87,13879
5974,71,94,13861
6006,73,90,13831
6015,79,96,13810
6026,71,112,13791
6036,86,117,13761
6057,85,122,13736
6060,91,136,13713
6082,92,150,13676
6073,114,147,13666
6093,116,158,13633
6101,123,169,13607
6094,124,181,13601
6079,132,199,13590
6072,140,210,13578
6065,169,230,13536
6072,170,238,13520
6057,174,257,13512
6035,188,275,13502
6015,199,294,13492
5987,211,319,13483
5954,223,337,13486
5917,231,349,13503
5896,246,361,13497
5850,268,380,13502
5809,274,405,13512
5753,293,419,13535
5709,316,417,13558
