SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19967,13,20,0
19942,36,21,1
19924,42,28,6
19899,54,37,10
19868,74,41,17
19825,93,61,21
19775,125,74,26
19713,146,101,40
19621,206,117,56
19532,235,162,71
19384,323,192,101
19229,387,253,131
19009,508,324,159
18743,636,419,202
18395,793,548,264
17984,981,698,337
17416,1277,876,431
16779,1554,1122,545
15898,2017,1396,689
14947,2364,1822,867
13780,2889,2190,1141
12559,3297,2706,1438
11093,3781,3316,1810
9634,4204,3877,2285
8191,4411,4602,2796
6756,4601,5249,3394
5474,4605,5852,4069
4338,4426,6365,4871
3380,4156,6734,5730
2637,3736,7046,6581
2023,3297,7154,7526
1556,2866,7114,8464
1193,2434,7069,9304
924,2036,6792,10248
735,1695,6425,11145
609,1395,6054,11942
535,1087,5681,12697
458,889,5265,13388
401,731,4831,14037
373,594,4404,14629
355,473,3968,15204
353,382,3561,15704
364,297,3164,16175
365,237,2832,16566
404,196,2520,16880
426,163,2229,17182
452,177,1925,17446
493,156,1714,17637
531,140,1560,17769
573,131,1380,17916
618,115,1236,18031
659,101,1098,18142
707,91,987,18215
747,86,893,18274
774,73,816,18337
828,74,721,18377
863,70,643,18424
897,65,558,18480
938,63,473,18526
996,54,415,18535
1041,55,358,18546
1110,48,334,18508
1147,49,307,18497
1201,52,279,18468
1253,49,248,18450
1313,42,229,18416
1362,36,210,18392
1418,32,195,18355
1454,28,178,18340
1518,26,159,18297
1591,23,141,18245
1652,22,129,18197
1712,25,108,18155
1767,22,96,18115
1816,17,84,18083
1869,14,80,18037
1916,16,73,17995
1962,21,63,17954
2031,19,60,17890
2080,23,54,17843
2132,17,50,17801
2181,18,49,17752
2253,16,46,17685
2306,18,45,17631
2355,19,42,17584
2421,16,46,17517
2474,12,43,17471
2527,9,43,17421
2571,10,42,17377
2628,6,38,17328
2675,9,35,17281
2728,8,32,17232
2785,12,25,17178
2841,12,25,17122
2885,14,26,17075
2937,16,25,17022
2988,13,26,16973
3023,15,26,16936
3069,13,26,16892
3116,8,24,16852
3169,11,25,16795
3214,7,29,16750
3258,8,26,16708
3306,8,27,16659
3349,9,26,16616
3391,7,24,16578
3429,8,22,16541
3474,8,19,16499
3521,14,16,16449
3570,15,22,16393
3614,11,25,16350
3664,10,23,16303
3702,8,23,16267
3746,10,23,16221
3810,7,24,16159
3847,7,24,16122
3893,7,26,16074
3934,8,23,16035
3979,5,24,15992
4025,5,24,15946
4078,4,23,15895
4113,7,21,15859
4155,9,20,15816
4197,9,15,15779
4233,11,13,15743
4287,10,11,15692
4323,8,13,15656
4365,8,13,15614
4404,6,15,15575
4453,6,16,15525
4499,8,14,15479
4552,8,16,15424
4584,7,17,15392
4628,9,16,15347
4675,10,15,15300
4707,11,15,15267
4743,8,16,15233
4794,7,18,15181
4824,10,17,15149
4859,10,19,15112
4899,9,18,15074
4941,12,18,15029
4976,11,21,14992
5023,8,23,14946
5047,15,20,14918
5097,15,21,14867
5132,13,24,14831
5164,14,24,14798
5200,21,25,14754
5240,15,35,14710
5274,20,31,14675
5308,23,31,14638
5346,25,33,14596
5385,20,37,14558
5425,22,38,14515
5458,26,36,14480
5491,30,38,14441
5521,31,41,14407
5552,32,43,14373
5590,35,41,14334
5624,35,40,14301
5651,38,41,14270
5678,40,46,14236
5715,37,56,14192
5748,47,55,14150
5777,48,62,14113
5806,49,64,14081
5830,50,73,14047
5855,56,74,14015
5898,61,77,13964
5914,67,79,13940
5939,64,86,13911
5971,61,89,13879
5994,65,87,13854
6013,73,90,13824
6022,72,102,13804
6032,81,107,13780
6042,93,120,13745
6052,92,135,13721
6055,110,134,13701
6075,117,135,13673
6071,117,152,13660
6072,112,170,13646
6078,123,179,13620
6067,142,197,13594
6051,158,207,13584
6040,165,225,13570
6030,169,237,13564
6021,164,255,13560
5996,177,270,13557
5970,186,286,13558
5937,204,312,13547
5913,226,332,13529
5884,223,349,13544
5850,236,363,13551
5813,258,373,13556
5774,261,397,13568
5718,283,424,13575
5681,300,442,13577
5618,320,468,13594
5576,305,500,13619
5503,320,542,13635
5446,322,572,13660
5385,338,589,13688
5312,365,596,13727
5214,394,619,13773
5143,412,648,13797
5058,403,715,13824
4951,433,738,13878
4871,465,746,13918
4792,463,783,13962
4692,489,794,14025
4604,489,835,14072
4486,526,844,14144
4391,508,900,14201
4264,521,925,14290
4161,531,940,14368
4047,548,964,14441
3929,550,999,14522
3832,572,989,14607
3757,543,1011,14689
3657,550,1015,14778
3583,542,1031,14844
3494,550,1021,14935
3401,539,1043,15017
3331,527,1060,15082
3263,510,1058,15169
3190,488,1039,15283
3136,450,1047,15367
3068,452,1034,15446
3004,438,1026,15532
2949,434,980,15637
2886,437,981,15696
2839,417,996,15748
2828,376,985,15811
2775,389,957,15879
2754,368,954,15924
2738,374,908,15980
2738,358,871,16033
2731,341,856,16072
2703,339,831,16127
2675,333,806,16186
2685,309,785,16221
2686,282,767,16265
2673,274,741,16312
2674,265,697,16364
2683,234,690,16393
2705,236,664,16395
2714,247,650,16389
2737,247,640,16376
2755,234,637,16374
2795,211,617,16377
2812,227,598,16363
2832,227,584,16357
2827,220,581,16372
2834,227,565,16374
2853,225,565,16357
2881,219,552,16348
2900,230,524,16346
2943,205,529,16323
2951,210,510,16329
2974,204,504,16318
3014,198,486,16302
3038,194,471,16297
3055,204,450,16291
3098,192,455,16255
3128,207,432,16233
3144,198,435,16223
3181,192,436,16191
3202,200,418,16180
3216,193,422,16169
3254,203,410,16133
3288,199,414,16099
3328,199,393,16080
3377,197,401,16025
3410,182,413,15995
3433,173,412,15982
3470,160,413,15957
3495,161,394,15950
3526,170,381,15923
3557,177,384,15882
3589,172,378,15861
3617,186,377,15820
3657,168,390,15785
3685,177,382,15756
3732,183,384,15701
3754,197,375,15674
3785,188,386,15641
3808,186,390,15616
3844,184,385,15587
3881,184,387,15548
3908,184,401,15507
3930,188,382,15500
3966,172,399,15463
3990,182,383,15445
4026,181,377,15416
4036,202,367,15395
4062,221,372,15345
4075,208,389,15328
4121,191,403,15285
4109,203,404,15284
4153,182,403,15262
4179,184,415,15222
4191,198,405,15206
4201,217,405,15177
4210,234,404,15152
4203,259,401,15137
4234,253,394,15119
4258,254,409,15079
4281,254,422,15043
4289,236,445,15030
4318,251,443,14988
4345,246,452,14957
4371,255,453,14921
4371,240,494,14895
4371,259,477,14893
4377,278,474,14871
4365,299,492,14844
4356,293,511,14840
4352,290,529,14829
4355,292,536,14817
4366,289,557,14788
4386,279,557,14778
4380,299,562,14759
4384,291,587,14738
4381,301,583,14735
4376,325,589,14710
4372,309,627,14692
4337,338,610,14715
4314,360,604,14722
4277,359,643,14721
4243,374,654,14729
4235,380,676,14709
4216,403,676,14705
4186,407,692,14715
4160,404,710,14726
4108,401,745,14746
4090,387,763,14760
4067,375,785,14773
4045,388,769,14798
4015,398,774,14813
3999,386,796,14819
3964,404,818,14814
3905,423,817,14855
3864,451,802,14883
3835,429,823,14913
3790,439,812,14959
3773,421,828,14978
3760,413,827,15000
3708,420,836,15036
3680,409,854,15057
3644,417,862,15077
3620,403,869,15108
3604,407,876,15113
3571,409,868,15152
3524,422,888,15166
3519,418,879,15184
3476,429,866,15229
3482,420,852,15246
3469,422,848,15261
3437,391,887,15285
3430,419,869,15282
3403,437,860,15300
3360,432,885,15323
3352,397,911,15340
3332,399,897,15372
3313,404,897,15386
3283,408,877,15432
3283,392,854,15471
3287,369,826,15518
3309,352,826,15513
3300,338,830,15532
3265,365,796,15574
3284,366,774,15576
3271,371,769,15589
3285,362,758,15595
3282,366,733,15619
3287,355,733,15625
3286,363,708,15643
3297,348,725,15630
3305,344,740,15611
3316,317,749,15618
3320,336,731,15613
3323,320,744,15613
3314,357,719,15610
3349,358,711,15582
3366,341,722,15571
3362,356,717,15565
3351,335,738,15576
3356,355,721,15568
3375,349,719,15557
3399,334,738,15529
3394,335,733,15538
3380,337,728,15555
3416,313,735,15536
3433,311,732,15524
3431,328,704,15537
3435,334,709,15522
3439,329,717,15515
3445,330,699,15526
3471,322,680,15527
3473,321,672,15534
3491,305,672,15532
3483,307,672,15538
3486,306,671,15537
3463,322,672,15543
3468,312,696,15524
3486,292,715,15507
3485,309,702,15504
3488,319,703,15490
3508,325,706,15461
3539,321,710,15430
3513,333,697,15457
3530,308,707,15455
3481,341,690,15488
3501,320,694,15485
3497,340,689,15474
3523,333,680,15464
3544,328,677,15451
3562,318,681,15439
3571,324,671,15434
3555,332,685,15428
3547,323,714,15416
3561,314,713,15412
3558,314,711,15417
3551,321,689,15439
3532,336,689,15443
3554,314,665,15467
3569,327,652,15452
3615,315,656,15414
3633,311,645,15411
3654,310,654,15382
