SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19947,31,20,2
19929,41,23,7
19906,55,28,11
19872,72,44,12
19824,100,58,18
19781,123,73,23
19714,152,107,27
19617,208,133,42
19515,260,171,54
19380,337,197,86
19206,412,264,118
18963,538,347,152
18663,673,467,197
18288,867,592,253
17817,1097,769,317
17224,1390,973,413
16474,1740,1240,546
15624,2102,1544,730
14594,2565,1916,925
13380,3049,2393,1178
12040,3507,2993,1460
10629,3952,3580,1839
9116,4332,4219,2333
7586,4651,4868,2895
6203,4701,5501,3595
4986,4620,6087,4307
3876,4409,6606,5109
2952,4130,6934,5984
2234,3643,7185,6938
1691,3127,7306,7876
1298,2636,7253,8813
988,2240,7009,9763
781,1862,6740,10617
639,1520,6329,11512
546,1200,5922,12332
467,971,5469,13093
418,802,5028,13752
392,623,4621,14364
380,504,4169,14947
382,433,3729,15456
391,351,3361,15897
391,288,3010,16311
403,249,2669,16679
418,211,2369,17002
442,191,2120,17247
464,169,1916,17451
500,151,1676,17673
543,140,1487,17830
553,141,1331,17975
590,118,1184,18108
639,111,1073,18177
680,101,943,18276
726,86,846,18342
769,87,752,18392
822,78,673,18427
854,90,617,18439
908,75,560,18457
954,72,508,18466
1013,65,460,18462
1049,61,419,18471
1087,54,376,18483
1135,55,331,18479
1179,63,294,18464
1227,57,279,18437
1283,55,253,18409
1334,53,238,18375
1394,45,208,18353
1440,41,199,18320
1494,35,191,18280
1547,32,168,18253
1608,30,148,18214
1668,27,126,18179
1742,25,118,18115
1812,24,110,18054
1886,22,101,17991
1951,23,91,17935
2013,24,86,17877
2072,24,80,17824
2135,24,78,17763
2189,24,75,17712
2243,21,73,17663
2311,21,68,17600
2363,16,67,17554
2419,16,61,17504
2476,14,59,17451
2511,16,51,17422
2566,19,53,17362
2623,15,54,17308
2678,17,45,17260
2730,24,41,17205
2778,22,38,17162
2831,24,38,17107
2884,26,35,17055
2931,21,39,17009
2972,21,38,16969
3020,17,38,16925
3055,18,36,16891
3106,18,35,16841
3146,16,33,16805
3200,12,30,16758
3243,12,28,16717
3279,14,30,16677
3320,16,29,16635
3357,11,33,16599
3405,11,28,16556
3459,11,27,16503
3503,13,26,16458
3550,12,27,16411
3595,9,30,16366
3636,9,26,16329
3679,9,27,16285
3724,13,26,16237
3771,13,27,16189
3803,18,27,16152
3846,21,29,16104
3885,19,35,16061
3921,16,36,16027
3953,14,36,15997
4010,18,31,15941
4046,20,30,15904
4093,17,37,15853
4130,15,36,15819
4163,10,39,15788
4218,13,36,15733
4258,11,35,15696
4307,11,35,15647
4342,15,31,15612
4375,18,29,15578
4431,15,30,15524
4481,14,30,15475
4524,17,29,15430
4569,17,31,15383
4610,15,32,15343
4651,20,30,15299
4683,19,37,15261
4717,19,39,15225
4751,24,38,15187
4784,27,34,15155
4807,28,40,15125
4850,31,38,15081
4881,30,44,15045
4924,26,43,15007
4962,24,54,14960
4991,36,52,14921
5017,39,54,14890
5058,34,55,14853
5076,49,52,14823
5122,43,58,14777
5149,41,67,14743
5176,43,74,14707
5196,47,74,14683
5229,51,73,14647
5262,47,75,14616
5281,50,76,14593
5309,49,87,14555
5339,55,91,14515
5357,58,98,14487
5377,64,99,14460
5396,65,100,14439
5426,65,106,14403
5450,66,117,14367
5462,66,127,14345
5479,71,127,14323
5496,75,141,14288
5507,88,141,14264
5527,87,145,14241
5545,88,140,14227
5547,95,141,14217
5562,113,150,14175
5574,124,163,14139
5578,131,163,14128
5600,137,178,14085
5601,143,200,14056
5601,144,213,14042
5615,129,228,14028
5620,150,237,13993
5600,168,248,13984
5579,181,262,13978
5566,190,277,13967
5547,199,284,13970
5531,199,295,13975
5503,208,311,13978
5472,232,326,13970
5456,227,350,13967
5417,254,368,13961
5384,266,393,13957
5358,269,432,13941
5312,284,447,13957
5251,304,458,13987
5194,323,488,13995
5148,334,487,14031
5080,349,518,14053
5031,343,553,14073
4956,368,573,14103
4907,367,582,14144
4861,363,593,14183
4814,354,626,14206
4736,381,640,14243
4664,398,659,14279
4601,397,683,14319
4528,418,680,14374
4471,419,698,14412
4410,399,720,14471
4344,427,723,14506
4277,427,752,14544
4185,454,755,14606
4127,450,773,14650
4042,464,778,14716
3980,445,808,14767
3912,445,820,14823
3826,459,834,14881
3765,445,864,14926
3699,431,872,14998
3621,454,862,15063
3561,440,870,15129
3507,435,874,15184
3448,437,869,15246
3409,429,858,15304
3361,433,851,15355
3330,419,837,15414
3301,409,832,15458
3270,371,836,15523
3220,389,846,15545
3161,414,842,15583
3110,416,842,15632
3085,398,836,15681
3071,374,844,15711
3045,369,827,15759
3015,365,813,15807
2987,341,824,15848
2971,349,797,15883
2960,336,802,15902
2967,312,784,15937
2960,319,771,15950
2954,320,739,15987
2948,313,701,16038
2956,284,693,16067
2956,286,682,16076
2952,294,645,16109
2966,259,634,16141
3002,240,609,16149
3010,242,610,16138
3021,241,577,16161
3010,266,550,16174
3042,244,534,16180
3059,237,538,16166
3070,250,525,16155
3094,243,527,16136
3124,234,523,16119
3152,227,514,16107
3174,232,511,16083
3195,238,490,16077
3209,240,494,16057
3233,240,492,16035
3266,232,504,15998
3269,236,509,15986
3296,226,515,15963
3314,220,499,15967
3363,226,485,15926
3345,247,484,15924
3350,245,498,15907
3371,226,494,15909
3390,238,482,15890
3416,225,484,15875
3433,238,488,15841
3471,226,488,15815
3499,220,477,15804
3528,217,462,15793
3546,200,478,15776
3575,204,460,15761
3605,212,428,15755
3625,225,422,15728
3653,226,427,15694
3678,220,440,15662
3717,207,452,15624
3741,213,449,15597
3759,216,461,15564
3793,220,438,15549
3814,199,458,15529
3836,210,452,15502
3855,225,448,15472
3893,220,443,15444
3916,218,448,15418
3922,232,455,15391
3926,243,463,15368
3936,245,477,15342
3953,246,476,15325
3955,237,493,15315
3972,222,493,15313
3987,226,480,15307
4017,221,486,15276
4021,226,487,15266
4035,229,497,15239
4049,250,480,15221
4053,267,479,15201
4076,249,508,15167
4068,253,506,15173
4070,269,499,15162
4081,273,517,15129
4087,272,506,15135
4087,284,522,15107
4071,316,521,15092
4077,306,543,15074
4053,308,564,15075
4062,311,546,15081
4080,303,548,15069
4074,311,544,15071
4097,300,542,15061
