SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19945,32,20,3
19933,35,28,4
19901,56,36,7
19868,71,50,11
19816,102,67,15
19742,148,85,25
19670,185,106,39
19566,238,144,52
19440,303,188,69
19267,388,256,89
19016,524,348,112
18755,644,441,160
18386,841,555,218
17894,1098,716,292
17353,1350,921,376
16651,1654,1187,508
15847,2021,1480,652
14885,2413,1827,875
13735,2907,2222,1136
12464,3391,2697,1448
11065,3853,3280,1802
9558,4249,3962,2231
8064,4537,4625,2774
6663,4697,5267,3373
5326,4689,5886,4099
4220,4469,6462,4849
3293,4188,6840,5679
2518,3799,7102,6581
1903,3363,7238,7496
1476,2862,7197,8465
1122,2403,7071,9404
913,1951,6769,10367
723,1644,6434,11199
599,1345,6047,12009
537,1059,5645,12759
483,860,5140,13517
426,697,4720,14157
411,542,4266,14781
416,455,3852,15277
415,371,3473,15741
420,308,3129,16143
433,267,2802,16498
452,220,2463,16865
469,176,2210,17145
514,147,1955,17384
536,139,1732,17593
566,123,1524,17787
606,110,1354,17930
627,113,1203,18057
677,92,1072,18159
725,87,957,18231
766,89,860,18285
812,99,768,18321
846,105,679,18370
892,92,617,18399
942,77,543,18438
990,70,492,18448
1038,66,442,18454
1100,71,396,18433
1158,66,352,18424
1196,65,321,18418
1247,58,303,18392
1300,51,281,18368
1364,40,263,18333
1418,41,230,18311
1463,42,213,18282
1519,46,189,18246
1572,46,170,18212
1625,45,153,18177
1677,36,145,18142
1731,26,140,18103
1781,30,123,18066
1841,25,113,18021
1899,25,101,17975
1943,29,94,17934
2009,33,83,17875
2077,22,75,17826
2153,21,66,17760
2217,25,57,17701
2260,26,59,17655
2310,22,60,17608
2368,19,52,17561
2413,20,52,17515
2471,17,51,17461
2542,15,57,17386
2583,16,58,17343
2631,16,55,17298
2685,16,52,17247
2738,13,45,17204
2801,18,42,17139
2865,21,39,17075
2908,22,37,17033
2955,21,42,16982
3008,18,46,16928
3053,20,38,16889
3101,19,36,16844
3150,18,39,16793
3197,18,37,16748
3236,20,29,16715
3281,17,34,16668
3330,17,38,16615
3377,16,40,16567
3422,15,39,16524
3466,18,42,16474
3497,20,37,16446
3554,18,36,16392
3590,18,32,16360
3640,15,33,16312
3686,13,30,16271
3743,12,32,16213
3785,17,30,16168
3838,17,28,16117
3875,17,29,16079
3921,18,26,16035
3965,18,27,15990
4000,16,31,15953
4045,15,32,15908
4097,10,34,15859
4147,14,31,15808
4177,20,30,15773
4222,17,36,15725
4261,16,37,15686
4308,10,40,15642
4361,12,33,15594
4407,11,32,15550
4440,15,31,15514
4483,16,27,15474
4520,17,26,15437
4557,17,28,15398
4590,16,32,15362
4629,16,33,15322
4663,17,33,15287
4698,21,34,15247
4744,18,34,15204
4786,17,32,15165
4825,17,35,15123
4873,17,36,15074
4907,21,32,15040
4935,31,32,15002
4962,31,35,14972
4983,21,46,14950
5017,25,46,14912
5046,27,50,14877
5086,30,48,14836
5121,28,51,14800
5155,30,49,14766
5192,30,48,14730
5217,29,53,14701
5246,34,52,14668
5285,38,46,14631
5330,36,50,14584
5369,34,54,14543
5406,34,59,14501
5435,38,63,14464
5467,36,66,14431
5480,44,70,14406
5514,42,77,14367
5540,48,75,14337
5559,47,80,14314
5572,52,81,14295
5599,48,87,14266
5618,57,84,14241
5636,59,90,14215
5651,67,97,14185
5683,62,103,14152
