SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19957,23,20,0
19940,35,20,5
19923,42,29,6
19905,49,36,10
19870,74,42,14
19831,92,58,19
19773,125,73,29
19706,155,87,52
19636,187,111,66
19542,225,150,83
19425,290,176,109
19270,357,240,133
19058,465,317,160
18793,587,414,206
18456,771,519,254
18039,966,668,327
17507,1206,861,426
16870,1495,1097,538
16050,1881,1379,690
15048,2381,1691,880
13919,2832,2134,1115
12781,3208,2632,1379
11419,3672,3169,1740
9976,4112,3769,2143
8538,4429,4430,2603
7056,4651,5084,3209
5683,4672,5774,3871
4461,4618,6255,4666
3477,4317,6716,5490
2692,3886,7068,6354
2033,3518,7137,7312
1576,3002,7165,8257
1219,2526,7029,9226
947,2070,6845,10138
760,1692,6499,11049
620,1365,6149,11866
525,1115,5708,12652
466,887,5225,13422
429,716,4788,14067
392,576,4361,14671
382,466,3922,15230
373,371,3537,15719
392,299,3178,16131
427,240,2847,16486
454,217,2511,16818
470,188,2242,17100
475,157,2010,17358
508,141,1796,17555
539,134,1570,17757
578,113,1384,17925
605,112,1234,18049
646,92,1074,18188
677,94,954,18275
704,87,854,18355
748,83,755,18414
770,83,686,18461
819,71,614,18496
864,56,547,18533
922,56,473,18549
978,59,430,18533
1044,56,382,18518
1092,55,335,18518
1136,50,299,18515
1185,51,260,18504
1248,47,229,18476
1283,46,213,18458
1340,43,194,18423
1399,35,181,18385
1457,35,166,18342
1515,37,150,18298
1572,38,138,18252
1634,34,128,18204
1685,37,116,18162
1737,47,102,18114
1780,35,102,18083
1844,27,96,18033
1900,31,89,17980
1957,26,84,17933
2018,21,81,17880
2069,16,76,17839
2126,18,61,17795
2172,21,53,17754
2226,16,57,17701
2275,15,54,17656
2329,16,47,17608
2376,15,43,17566
2423,11,42,17524
2463,16,36,17485
2510,16,31,17443
2580,15,29,17376
2640,15,26,17319
2685,14,22,17279
2741,12,23,17224
2790,10,25,17175
2847,10,28,17115
2896,9,29,17066
2937,9,29,17025
2983,11,29,16977
3030,11,30,16929
3078,13,28,16881
3140,14,26,16820
3190,13,25,16772
3245,13,26,16716
3292,12,25,16671
3328,10,27,16635
3374,5,27,16594
3419,8,26,16547
3466,11,22,16501
3516,7,23,16454
3555,6,23,16416
3602,7,21,16370
3660,5,21,16314
3714,6,20,16260
3762,4,22,16212
3810,6,22,16162
3857,5,22,16116
3890,10,24,16076
3934,8,27,16031
3982,12,26,15980
4018,14,26,15942
4061,9,32,15898
4108,12,28,15852
4155,10,28,15807
4203,9,28,15760
4251,11,27,15711
4291,16,23,15670
4323,13,26,15638
4370,14,22,15594
4416,13,23,15548
4458,12,21,15509
4503,12,18,15467
4545,13,22,15420
4585,17,24,15374
4631,14,25,15330
4680,11,24,15285
4726,12,22,15240
4778,14,21,15187
4828,11,24,15137
4870,14,24,15092
4919,12,23,15046
4954,16,23,15007
4996,17,27,14960
5022,18,29,14931
5071,17,30,14882
5099,23,32,14846
5134,25,32,14809
5169,27,34,14770
5196,30,32,14742
5225,26,36,14713
5269,26,38,14667
5303,30,38,14629
5341,27,39,14593
5378,26,44,14552
5411,25,43,14521
5437,30,39,14494
5479,29,39,14453
5511,26,46,14417
5539,37,43,14381
5571,39,48,14342
5608,34,59,14299
5655,26,65,14254
5671,44,65,14220
5701,46,74,14179
5725,46,81,14148
5751,48,87,14114
5771,57,93,14079
5788,65,86,14061
5804,66,86,14044
5824,76,98,14002
5851,78,97,13974
5871,82,108,13939
5884,81,117,13918
5907,87,125,13881
5905,99,132,13864
5908,116,135,13841
5915,119,148,13818
5941,106,166,13787
5937,117,179,13767
5934,118,204,13744
5925,138,212,13725
5905,163,222,13710
5890,173,235,13702
5875,175,240,13710
5860,187,246,13707
5851,184,279,13686
5821,179,322,13678
5775,211,328,13686
5735,230,337,13698
