SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19968,12,20,0
19946,30,20,4
19925,42,28,5
19897,55,39,9
19849,88,48,15
19813,105,64,18
19756,128,89,27
19664,176,120,40
19566,224,156,54
19419,310,195,76
19224,403,275,98
18952,567,356,125
18647,704,478,171
18267,905,595,233
17777,1155,755,313
17198,1417,975,410
16428,1796,1233,543
15527,2159,1620,694
14431,2658,2037,874
13230,3125,2495,1150
11892,3557,3083,1468
10392,4049,3667,1892
8870,4392,4362,2376
7398,4620,5003,2979
5991,4747,5671,3591
4758,4604,6291,4347
3681,4450,6730,5139
2807,4053,7134,6006
2135,3595,7359,6911
1597,3133,7376,7894
1228,2635,7235,8902
968,2192,7057,9783
765,1811,6771,10653
641,1484,6375,11500
548,1228,5881,12343
459,986,5492,13063
417,778,5028,13777
399,626,4591,14384
384,497,4125,14994
388,409,3703,15500
377,346,3324,15953
378,271,3000,16351
413,231,2700,16656
430,193,2424,16953
467,161,2172,17200
488,151,1928,17433
508,150,1678,17664
543,140,1486,17831
576,125,1336,17963
597,114,1188,18101
633,107,1060,18200
673,90,941,18296
728,76,829,18367
773,78,720,18429
809,72,636,18483
845,64,575,18516
912,66,514,18508
962,61,462,18515
1018,58,409,18515
1090,52,358,18500
1143,47,320,18490
1197,51,283,18469
1266,43,268,18423
1343,37,233,18387
1402,33,209,18356
1452,29,187,18332
1516,24,162,18298
1575,30,141,18254
1643,31,128,18198
1683,33,112,18172
1732,31,109,18128
1786,31,94,18089
1840,29,89,18042
1890,25,81,18004
1939,26,77,17958
1998,27,71,17904
2036,23,70,17871
2087,20,75,17818
2135,22,64,17779
2180,18,63,17739
2234,17,59,17690
2284,18,54,17644
2329,26,51,17594
2367,28,58,17547
2426,23,61,17490
2474,23,55,17448
2529,22,53,17396
2586,23,49,17342
2645,26,40,17289
2697,26,33,17244
2745,20,32,17203
2798,17,36,17149
2831,15,39,17115
2870,15,37,17078
2917,10,40,17033
2968,11,39,16982
3019,12,36,16933
3068,9,40,16883
3118,12,33,16837
3148,10,31,16811
3198,9,30,16763
3242,9,28,16721
3279,10,31,16680
3334,13,28,16625
3372,9,28,16591
3406,7,28,16559
3461,8,26,16505
3521,12,22,16445
3570,12,23,16395
3619,11,24,16346
3671,6,27,16296
3710,9,24,16257
3765,12,24,16199
