SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19959,21,20,0
19941,34,20,5
19922,47,23,8
19904,51,34,11
19873,66,42,19
19833,94,50,23
19792,98,82,28
19724,138,95,43
19650,177,113,60
19542,237,153,68
19412,300,197,91
19244,377,268,111
19043,494,313,150
18782,621,410,187
18420,802,537,241
17941,1058,697,304
17350,1349,909,392
16633,1676,1185,506
15804,1993,1533,670
14714,2496,1935,855
13550,2947,2393,1110
12302,3398,2893,1407
10867,3899,3408,1826
9433,4257,4046,2264
7989,4476,4745,2790
6556,4666,5378,3400
5275,4633,5973,4119
4146,4431,6502,4921
3172,4130,6937,5761
2435,3708,7144,6713
1855,3281,7198,7666
1417,2784,7215,8584
1072,2366,7012,9550
838,1928,6789,10445
689,1600,6388,11323
592,1306,5975,12127
501,1070,5509,12920
440,837,5128,13595
386,679,4677,14258
368,542,4269,14821
365,404,3878,15353
374,325,3445,15856
379,271,3137,16213
397,236,2779,16588
422,206,2429,16943
437,182,2178,17203
473,159,1914,17454
520,134,1706,17640
525,127,1517,17831
559,127,1341,17973
596,116,1197,18091
626,110,1065,18199
669,95,943,18293
721,86,850,18343
747,82,750,18421
788,74,674,18464
831,72,592,18505
885,64,522,18529
928,63,462,18547
986,64,417,18533
1033,50,369,18548
1094,53,327,18526
1148,53,297,18502
1192,54,262,18492
1246,49,240,18465
1312,40,233,18415
1376,38,213,18373
1416,32,193,18359
1463,32,177,18328
1513,36,157,18294
1578,34,152,18236
1630,31,137,18202
1689,36,125,18150
1759,30,121,18090
1823,25,111,18041
1868,28,106,17998
1913,32,96,17959
1957,30,96,17917
1999,24,93,17884
2052,16,91,17841
2097,23,77,17803
2146,20,73,17761
2209,18,75,17698
2266,24,62,17648
2333,20,60,17587
2364,20,56,17560
2416,27,55,17502
2466,25,53,17456
2522,20,56,17402
2585,23,53,17339
2619,21,59,17301
2667,21,57,17255
2719,19,55,17207
2756,12,53,17179
2807,12,52,17129
2853,14,44,17089
2902,17,43,17038
2948,18,43,16991
2991,23,38,16948
3032,22,38,16908
3068,23,40,16869
3112,22,39,16827
3156,19,44,16781
3207,15,48,16730
3260,15,42,16683
3318,15,36,16631
3381,12,31,16576
3420,11,32,16537
3450,13,32,16505
3498,13,29,16460
3539,12,24,16425
3584,11,23,16382
3626,20,17,16337
3667,18,20,16295
3701,18,19,16262
3746,15,22,16217
3790,12,23,16175
3828,13,24,16135
3876,15,23,16086
3920,14,24,16042
3962,15,22,16001
4004,13,25,15958
4038,13,25,15924
4089,16,27,15868
4139,16,30,15815
4188,18,28,15766
4234,17,30,15719
4277,22,28,15673
4313,16,36,15635
4355,18,36,15591
4399,20,30,15551
4430,20,31,15519
4478,18,33,15471
4514,21,35,15430
4557,22,34,15387
4606,15,39,15340
4653,20,35,15292
4696,22,34,15248
4738,22,35,15205
4783,21,39,15157
4822,20,40,15118
4860,20,44,15076
4893,28,42,15037
4923,32,46,14999
4959,33,51,14957
4987,28,54,14931
5019,39,49,14893
5052,45,53,14850
5091,39,60,14810
5114,41,68,14777
5144,43,76,14737
5174,45,70,14711
5203,37,82,14678
5218,46,78,14658
5247,50,73,14630
5256,61,81,14602
5282,64,80,14574
5296,61,90,14553
5312,68,95,14525
5342,73,99,14486
5376,63,106,14455
5390,67,111,14432
5405,73,114,14408
5417,87,114,14382
5446,92,113,14349
5463,93,125,14319
5461,99,138,14302
5487,100,144,14269
5486,111,151,14252
5487,122,160,14231
5479,127,175,14219
5489,125,184,14202
5475,132,200,14193
5480,132,208,14180
