SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19961,19,20,0
19945,28,25,2
19924,36,33,7
19888,62,36,14
19852,77,54,17
19800,110,66,24
19745,131,93,31
19656,186,112,46
19572,231,138,59
19455,290,177,78
19304,345,245,106
19087,464,317,132
18818,585,425,172
18471,778,535,216
18025,1006,693,276
17489,1225,911,375
16756,1624,1119,501
15961,1949,1457,633
15002,2370,1799,829
13822,2874,2235,1069
12489,3398,2762,1351
11094,3818,3324,1764
9544,4278,3971,2207
8092,4557,4605,2746
6629,4651,5350,3370
5298,4685,5950,4067
4115,4535,6495,4855
3203,4182,6927,5688
2396,3779,7242,6583
1857,3284,7359,7500
1414,2859,7277,8450
1081,2451,7002,9466
878,1994,6788,10340
701,1639,6455,11205
589,1335,6052,12024
497,1078,5613,12812
441,865,5179,13515
404,683,4692,14221
384,560,4244,14812
394,456,3797,15353
393,369,3405,15833
399,290,3069,16242
418,259,2721,16602
436,224,2434,16906
439,193,2167,17201
483,159,1960,17398
512,138,1750,17600
552,116,1565,17767
572,106,1404,17918
603,109,1247,18041
639,100,1131,18130
675,105,1010,18210
710,94,909,18287
743,98,794,18365
793,97,701,18409
849,83,631,18437
912,69,575,18444
964,69,509,18458
1016,66,470,18448
1077,55,425,18443
1119,57,379,18445
1163,61,326,18450
1223,49,298,18430
1269,49,264,18418
1321,43,249,18387
1366,44,225,18365
1423,44,194,18339
1470,47,174,18309
1522,42,162,18274
1573,34,152,18241
1635,34,141,18190
1682,30,128,18160
1744,29,113,18114
1792,28,107,18073
1840,31,97,18032
1899,28,94,17979
1960,27,86,17927
2014,24,73,17889
2088,21,67,17824
2129,19,67,17785
2176,18,65,17741
2233,14,66,17687
2284,17,53,17646
2346,14,52,17588
2403,14,45,17538
2450,15,44,17491
2495,18,41,17446
2537,17,39,17407
2588,16,39,17357
2649,14,37,17300
2695,14,37,17254
2741,18,35,17206
2773,22,33,17172
2820,20,31,17129
2874,18,34,17074
2920,17,33,17030
2975,17,33,16975
3029,15,36,16920
3080,16,32,16872
3122,14,38,16826
3171,9,38,16782
3216,10,36,16738
3265,8,39,16688
3313,11,31,16645
3365,14,29,16592
3411,13,31,16545
3457,14,29,16500
3501,14,29,16456
3547,14,27,16412
3588,15,30,16367
3631,11,34,16324
3675,16,31,16278
3708,19,29,16244
3747,22,30,16201
3787,19,32,16162
3833,27,33,16107
3884,22,36,16058
3926,20,40,16014
3965,21,39,15975
3999,21,41,15939
4038,21,40,15901
4076,25,39,15860
4119,27,37,15817
4166,22,43,15769
4203,26,42,15729
4232,28,36,15704
4266,28,37,15669
4300,27,39,15634
4335,29,46,15590
4369,35,46,15550
4408,36,53,15503
4455,27,58,15460
4494,31,58,15417
4539,40,53,15368
4586,32,54,15328
4612,39,59,15290
4636,39,62,15263
4663,43,61,15233
4692,46,65,15197
4732,40,67,15161
4764,43,69,15124
4784,50,73,15093
4808,52,73,15067
4847,50,71,15032
4878,53,76,14993
4895,52,79,14974
4934,47,81,14938
4958,49,80,14913
4987,52,86,14875
5023,48,93,14836
5043,55,96,14806
5064,57,92,14787
5099,50,95,14756
5123,53,101,14723
5151,60,100,14689
5170,60,113,14657
5186,57,114,14643
5199,69,112,14620
5210,84,107,14599
5241,80,114,14565
5279,79,117,14525
5299,81,123,14497
5320,77,139,14464
5339,87,140,14434
5349,110,148,14393
5360,116,155,14369
5370,102,166,14362
5384,104,171,14341
5377,128,174,14321
5383,129,200,14288
5400,131,206,14263
5395,132,219,14254
5394,140,228,14238
5399,139,230,14232
5400,157,220,14223
5401,167,233,14199
5402,171,247,14180
5398,179,265,14158
5398,180,274,14148
5389,189,274,14148
5374,197,289,14140
5362,194,312,14132
5344,203,322,14131
5322,212,328,14138
5309,218,331,14142
5283,232,344,14141
5257,239,364,14140
5245,248,377,14130
5227,259,389,14125
5161,294,411,14134
5116,284,459,14141
5075,295,481,14149
5029,323,492,14156
4986,323,535,14156
4930,341,545,14184
4869,349,558,14224
4811,371,564,14254
4766,362,600,14272
4713,364,632,14291
4669,350,658,14323
4608,354,676,14362
4537,354,696,14413
4472,375,697,14456
4384,398,728,14490
4311,405,735,14549
4261,397,758,14584
4181,414,768,14637
4100,423,797,14680
4034,442,793,14731
3962,428,832,14778
3895,422,844,14839
3837,422,852,14889
3800,404,850,14946
3731,416,847,15006
3666,418,858,15058
3616,412,854,15118
3562,412,856,15170
3516,415,851,15218
3447,404,863,15286
3392,403,876,15329
3343,407,864,15386
3303,393,862,15442
3280,359,863,15498
3267,354,849,15530
3215,354,867,15564
3184,346,848,15622
3159,353,819,15669
3143,350,812,15695
3113,363,791,15733
3072,371,766,15791
3058,361,754,15827
3031,339,777,15853
3010,326,784,15880
3002,328,751,15919
2968,326,756,15950
2957,318,746,15979
2948,308,732,16012
2960,288,730,16022
2956,295,715,16034
2949,312,699,16040
2968,293,693,16046
2958,297,698,16047
2954,291,674,16081
2966,278,671,16085
2973,291,627,16109
2990,285,630,16095
