SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19971,9,20,0
19951,27,19,3
19933,33,27,7
19907,48,37,8
19869,72,45,14
19836,87,59,18
19796,108,75,21
19728,143,98,31
19641,191,124,44
19519,261,159,61
19379,330,210,81
19205,401,294,100
18947,550,381,122
18628,711,484,177
18264,883,615,238
17785,1101,784,330
17148,1444,966,442
16436,1753,1221,590
15578,2104,1574,744
14585,2531,1927,957
13448,2967,2392,1193
12148,3435,2902,1515
10735,3847,3519,1899
9248,4280,4133,2339
7769,4504,4827,2900
6342,4681,5419,3558
5096,4553,6092,4259
4007,4359,6529,5105
3105,4043,6904,5948
2346,3674,7132,6848
1806,3158,7256,7780
1382,2716,7180,8722
1051,2266,6984,9699
814,1863,6705,10618
646,1511,6355,11488
543,1222,5940,12295
470,985,5505,13040
422,788,5016,13774
405,634,4582,14379
398,526,4124,14952
369,442,3713,15476
387,364,3365,15884
386,303,2989,16322
404,263,2634,16699
414,215,2340,17031
427,184,2065,17324
454,164,1851,17531
483,154,1647,17716
519,136,1470,17875
560,117,1307,18016
606,109,1149,18136
641,95,1042,18222
677,95,922,18306
737,92,796,18375
769,103,708,18420
816,102,628,18454
859,91,553,18497
904,65,501,18530
955,66,436,18543
1017,53,391,18539
1071,48,350,18531
1129,43,318,18510
1199,41,283,18477
1251,43,256,18450
1298,36,232,18434
1364,39,211,18386
1422,32,197,18349
1477,30,180,18313
1527,32,165,18276
1575,29,144,18252
1641,30,130,18199
1678,29,122,18171
1722,31,112,18135
1786,32,99,18083
1841,26,90,18043
1900,25,88,17987
1963,24,79,17934
2022,29,75,17874
2085,28,71,17816
2148,27,71,17754
2188,26,72,17714
2246,23,63,17668
2302,25,59,17614
2354,24,56,17566
2410,22,57,17511
2450,25,53,17472
2500,24,49,17427
2556,20,45,17379
2608,17,43,17332
2648,24,45,17283
2693,22,45,17240
2743,15,46,17196
2783,18,44,17155
2835,19,47,17099
2875,14,49,17062
2932,10,44,17014
2979,12,38,16971
3030,16,36,16918
3077,15,39,16869
3117,13,39,16831
3169,11,42,16778
3219,9,41,16731
3266,12,38,16684
3306,15,32,16647
3341,17,33,16609
3384,17,35,16564
3435,13,35,16517
3482,10,32,16476
3534,11,31,16424
3567,12,32,16389
3614,15,27,16344
3663,13,26,16298
3712,14,23,16251
3751,14,21,16214
3787,15,22,16176
3837,10,24,16129
3884,11,21,16084
3931,12,18,16039
3981,14,16,15989
4020,12,18,15950
4064,12,19,15905
4099,7,24,15870
4148,8,22,15822
4203,7,21,15769
4232,9,19,15740
4272,8,21,15699
4327,8,20,15645
4364,9,19,15608
4397,9,19,15575
4430,9,18,15543
4470,8,20,15502
4511,8,22,15459
4554,11,19,15416
4608,9,20,15363
4650,14,19,15317
4693,16,16,15275
4735,12,21,15232
4769,15,19,15197
4808,18,22,15152
4853,19,22,15106
4891,20,24,15065
4930,22,21,15027
4960,20,22,14998
5000,19,22,14959
5042,17,22,14919
5083,17,19,14881
5130,16,23,14831
5177,15,23,14785
5222,17,22,14739
5255,19,23,14703
5291,22,26,14661
5326,20,25,14629
5365,23,26,14586
5390,19,32,14559
5428,23,29,14520
5468,16,38,14478
5491,20,42,14447
5516,24,40,14420
5545,27,41,14387
5573,25,43,14359
5602,37,39,14322
5635,30,46,14289
5683,28,50,14239
5708,34,43,14215
5748,31,40,14181
5772,36,46,14146
5800,34,55,14111
5836,31,59,14074
5875,35,63,14027
5895,41,67,13997
5917,47,72,13964
5936,42,77,13945
5954,53,84,13909
5968,59,88,13885
6001,59,100,13840
6022,67,105,13806
6038,74,111,13777
6051,78,116,13755
6064,84,110,13742
6074,90,118,13718
6084,94,117,13705
6100,92,129,13679
6106,90,151,13653
6098,105,153,13644
6103,109,166,13622
6108,118,175,13599
6107,125,179,13589
6100,140,182,13578
6084,158,191,13567
6075,163,208,13554
6068,163,235,13534
6064,160,251,13525
6059,161,268,13512
6031,186,274,13509
6002,200,282,13516
5977,197,317,13509
5937,226,326,13511
5894,256,343,13507
5853,263,381,13503
5793,287,407,13513
5747,297,429,13527
5691,317,451,13541
5639,315,490,13556
5564,350,500,13586
5489,375,512,13624
5416,380,552,13652
5347,383,595,13675
5251,416,623,13710
5171,413,663,13753
5103,407,689,13801
4990,447,717,13846
4889,460,746,13905
4796,489,748,13967
4714,495,763,14028
4617,506,809,14068
4545,485,835,14135
4433,519,857,14191
4336,523,904,14237
4210,540,921,14329
4105,537,945,14413
4015,529,966,14490
3898,548,984,14570
3819,543,1021,14617
3714,538,1035,14713
3640,494,1060,14806
3564,508,1040,14888
3493,504,1020,14983
3423,482,1038,15057
3351,487,1016,15146
3287,484,1004,15225
3244,463,993,15300
3177,456,1010,15357
3102,468,992,15438
3063,450,976,15511
3024,445,964,15567
2990,421,958,15631
2962,359,989,15690
2935,365,953,15747
2895,363,924,15818
2857,378,875,15890
2827,367,880,15926
2783,360,868,15989
2758,327,855,16060
2750,308,826,16116
2731,327,783,16159
2726,319,771,16184
2690,325,762,16223
2685,322,751,16242
2693,293,762,16252
2692,297,749,16262
2706,294,715,16285
2711,283,702,16304
2730,263,695,16312
2747,245,680,16328
2753,259,660,16328
2764,250,643,16343
2788,231,618,16363
2791,242,602,16365
2831,211,587,16371
2841,214,567,16378
2859,222,552,16367
2916,190,553,16341
2952,188,514,16346
2957,190,511,16342
2997,202,485,16316
3040,193,490,16277
3054,187,476,16283
3086,196,462,16256
3117,183,449,16251
3153,185,433,16229
3198,171,438,16193
3240,179,411,16170
3274,171,395,16160
3309,179,390,16122
3345,187,380,16088
3375,186,380,16059
3408,187,380,16025
3471,173,380,15976
3514,170,383,15933
3543,163,387,15907
