SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19966,14,20,0
19952,23,23,2
19922,46,28,4
19894,66,33,7
19859,79,49,13
19811,108,63,18
19758,126,85,31
19690,156,116,38
19596,212,139,53
19470,262,198,70
19308,350,236,106
19111,442,318,129
18859,580,401,160
18544,724,512,220
18114,945,644,297
17583,1199,822,396
16885,1553,1038,524
16104,1894,1335,667
15175,2274,1697,854
14112,2702,2113,1073
12919,3141,2592,1348
11531,3651,3122,1696
10054,4099,3731,2116
8575,4453,4347,2625
7142,4654,5007,3197
5786,4696,5636,3882
4570,4524,6288,4618
3574,4259,6708,5459
2736,3934,7024,6306
2122,3451,7130,7297
1652,2971,7142,8235
1227,2618,6950,9205
947,2190,6782,10081
778,1763,6453,11006
647,1422,6071,11860
549,1124,5696,12631
483,896,5293,13328
434,715,4883,13968
420,558,4483,14539
396,480,4016,15108
383,393,3631,15593
383,335,3271,16011
377,284,2929,16410
399,237,2585,16779
452,183,2314,17051
484,150,2044,17322
510,128,1808,17554
543,109,1628,17720
578,108,1421,17893
627,97,1294,17982
666,94,1128,18112
726,80,992,18202
774,86,865,18275
828,85,766,18321
877,84,681,18358
922,77,610,18391
967,67,546,18420
1024,69,484,18423
1076,65,446,18413
1135,62,398,18405
1175,51,364,18410
1222,53,336,18389
1274,42,304,18380
1313,52,266,18369
1360,43,240,18357
1420,43,216,18321
1466,37,200,18297
1511,38,191,18260
1550,41,178,18231
1607,39,157,18197
1661,43,146,18150
1717,39,138,18106
1772,35,127,18066
1832,36,114,18018
1876,32,108,17984
1940,35,96,17929
1995,29,91,17885
2047,33,83,17837
2095,25,83,17797
2162,29,72,17737
2221,31,69,17679
2267,31,62,17640
2322,24,59,17595
2389,21,58,17532
2432,22,55,17491
2474,22,56,17448
2522,17,48,17413
2570,17,48,17365
2627,18,50,17305
2687,18,46,17249
2723,24,41,17212
2781,18,44,17157
2829,17,39,17115
2878,17,36,17069
2930,18,35,17017
2978,18,31,16973
3029,18,32,16921
3070,18,32,16880
3115,15,35,16835
3158,9,42,16791
3201,12,41,16746
3242,15,38,16705
3281,14,37,16668
3322,12,32,16634
3375,7,36,16582
3418,5,33,16544
3471,8,33,16488
3504,8,33,16455
3553,8,32,16407
3605,7,31,16357
3643,12,27,16318
3691,9,25,16275
3742,11,19,16228
3781,11,20,16188
3834,13,18,16135
3875,13,20,16092
3927,12,20,16041
3969,9,20,16002
4015,8,20,15957
4065,10,22,15903
4110,8,26,15856
4152,7,26,15815
4190,11,27,15772
4231,13,28,15728
4261,17,27,15695
4299,16,28,15657
4338,20,28,15614
4383,15,35,15567
4428,17,35,15520
4475,14,37,15474
4509,15,34,15442
