SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19943,29,26,2
19919,47,28,6
19897,57,36,10
19856,83,48,13
19811,100,68,21
19730,151,91,28
19626,219,118,37
19529,269,149,53
19378,338,214,70
19216,410,271,103
18976,537,352,135
18656,696,464,184
18289,879,584,248
17871,1059,740,330
17248,1366,952,434
16510,1705,1219,566
15645,2086,1523,746
14683,2471,1882,964
13514,2948,2310,1228
12240,3393,2858,1509
10846,3818,3462,1874
9392,4176,4070,2362
7966,4408,4701,2925
6612,4497,5390,3501
5238,4619,5932,4211
4117,4477,6424,4982
3228,4054,6887,5831
2455,3720,7121,6704
1905,3234,7227,7634
1467,2773,7197,8563
1136,2322,7046,9496
878,1940,6781,10401
698,1593,6481,11228
579,1290,6035,12096
466,1057,5580,12897
403,856,5172,13569
386,686,4715,14213
369,562,4286,14783
361,450,3874,15315
368,352,3455,15825
368,280,3087,16265
384,231,2775,16610
399,198,2456,16947
422,162,2191,17225
460,140,1919,17481
499,121,1689,17691
539,110,1473,17878
570,106,1308,18016
625,87,1155,18133
665,82,1022,18231
703,79,920,18298
755,79,811,18355
820,71,719,18390
855,72,642,18431
902,67,571,18460
948,56,503,18493
991,60,441,18508
1042,41,398,18519
1092,46,363,18499
1154,40,320,18486
1210,45,283,18462
1275,43,263,18419
1321,47,238,18394
1369,54,211,18366
1417,44,202,18337
1477,36,186,18301
1519,36,151,18294
1560,32,143,18265
1625,28,123,18224
1672,22,118,18188
1727,25,108,18140
1774,22,103,18101
1834,21,101,18044
1883,26,96,17995
1958,24,91,17927
2014,23,88,17875
2050,30,76,17844
2103,25,81,17791
2161,26,74,17739
2210,25,75,17690
2265,20,66,17649
2304,21,66,17609
2350,17,57,17576
2398,15,51,17536
2443,21,45,17491
2497,25,39,17439
2543,24,46,17387
2594,14,55,17337
2659,12,53,17276
2705,15,50,17230
2750,17,48,17185
2796,17,47,17140
2839,17,43,17101
2892,12,42,17054
2936,13,39,17012
2974,16,32,16978
3026,16,30,16928
3071,17,36,16876
3128,17,34,16821
3176,18,32,16774
3222,15,31,16732
3250,15,32,16703
3294,11,34,16661
3337,16,35,16612
3383,18,36,16563
3429,16,33,16522
3471,18,35,16476
3506,16,37,16441
3550,14,39,16397
3595,14,40,16351
3642,12,40,16306
3675,14,37,16274
3713,17,36,16234
3752,14,33,16201
3797,16,33,16154
3853,14,34,16099
3886,16,33,16065
3920,16,32,16032
3969,11,31,15989
4010,11,32,15947
4056,16,31,15897
4097,19,27,15857
4141,15,31,15813
4180,13,32,15775
4226,11,33,15730
4261,20,25,15694
4305,21,23,15651
4355,21,24,15600
4393,18,27,15562
4434,13,30,15523
4480,14,29,15477
4513,17,29,15441
4548,17,34,15401
4592,18,38,15352
4633,12,39,15316
4663,21,37,15279
4703,24,35,15238
4733,28,37,15202
4782,23,41,15154
4817,24,44,15115
4849,27,44,15080
4895,24,47,15034
4937,26,43,14994
4959,28,50,14963
4989,26,46,14939
5022,26,49,14903
5050,33,50,14867
5086,33,57,14824
5125,34,63,14778
5154,37,58,14751
5189,37,54,14720
5228,37,58,14677
5264,38,62,14636
5292,41,63,14604
5321,52,57,14570
5338,49,76,14537
5371,51,77,14501
5380,57,87,14476
5407,55,93,14445
5432,63,92,14413
5462,57,107,14374
5481,61,113,14345
5485,74,120,14321
5495,86,117,14302
5510,93,126,14271
5528,85,141,14246
5547,95,146,14212
5541,101,158,14200
5550,93,166,14191
5567,102,160,14171
5570,116,168,14146
5570,129,183,14118
5565,132,191,14112
5573,133,198,14096
5585,144,199,14072
5590,134,224,14052
5568,155,226,14051
5567,162,222,14049
5555,172,246,14027
5543,177,265,14015
5536,192,272,14000
5528,195,295,13982
5521,198,324,13957
5494,224,335,13947
5470,237,355,13938
5438,246,376,13940
5392,260,409,13939
5372,254,415,13959
5329,283,415,13973
5307,270,438,13985
5271,279,456,13994
5214,285,482,14019
5171,304,487,14038
5106,324,512,14058
5048,355,525,14072
4972,361,578,14089
4915,387,600,14098
4832,404,633,14131
4732,439,672,14157
4659,438,700,14203
4583,428,727,14262
4527,445,720,14308
4441,456,748,14355
4368,448,774,14410
4293,458,781,14468
4215,455,805,14525
4131,457,824,14588
4027,482,816,14675
3956,460,854,14730
3861,453,878,14808
3792,442,903,14863
3708,460,913,14919
3644,458,926,14972
3550,459,942,15049
3482,459,932,15127
3397,472,946,15185
3347,451,964,15238
3254,453,992,15301
3179,448,977,15396
