SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19958,22,20,0
19937,38,24,1
19910,50,38,2
19881,68,42,9
19843,79,60,18
19789,117,70,24
19744,137,83,36
19674,168,113,45
19559,239,142,60
19435,301,187,77
19288,365,238,109
19091,477,299,133
18801,625,408,166
18435,782,565,218
17997,981,734,288
17407,1286,929,378
16732,1608,1159,501
15937,1966,1450,647
14894,2446,1802,858
13759,2905,2229,1107
12451,3408,2725,1416
11072,3851,3303,1774
9616,4210,3962,2212
8104,4573,4596,2727
6681,4733,5250,3336
5338,4718,5913,4031
4193,4523,6457,4827
3230,4216,6850,5704
2480,3822,7101,6597
1865,3320,7277,7538
1403,2881,7249,8467
1042,2415,7147,9396
791,1975,6934,10300
637,1608,6579,11176
508,1308,6140,12044
447,1046,5711,12796
404,816,5261,13519
380,652,4813,14155
359,535,4375,14731
385,444,3905,15266
392,367,3487,15754
406,314,3114,16166
412,268,2796,16524
412,230,2489,16869
437,194,2233,17136
469,169,1971,17391
494,151,1746,17609
536,125,1560,17779
576,103,1385,17936
606,91,1225,18078
633,98,1066,18203
681,96,943,18280
723,93,845,18339
778,76,756,18390
824,66,657,18453
873,66,574,18487
907,68,513,18512
970,61,465,18504
1016,63,416,18505
1073,58,393,18476
1140,50,352,18458
1202,47,340,18411
1254,47,304,18395
1305,44,277,18374
1353,44,248,18355
1418,37,233,18312
1472,37,211,18280
1541,39,176,18244
1617,35,159,18189
1662,38,154,18146
1718,38,131,18113
1789,33,127,18051
1846,31,110,18013
1893,36,93,17978
1942,33,89,17936
1994,27,89,17890
2053,24,88,17835
2112,26,79,17783
2151,31,75,17743
2205,27,75,17693
2261,30,70,17639
2303,31,66,17600
2354,23,71,17552
2419,25,68,17488
2457,24,56,17463
2511,27,53,17409
2567,22,51,17360
2621,19,53,17307
2676,15,54,17255
2735,11,55,17199
2786,8,52,17154
2821,17,49,17113
2869,18,51,17062
2930,14,51,17005
2971,11,46,16972
3028,15,42,16915
3081,14,39,16866
3132,13,35,16820
3172,12,30,16786
3225,16,26,16733
3269,16,22,16693
3324,18,18,16640
3367,14,20,16599
3413,11,21,16555
3458,9,20,16513
3510,10,19,16461
3557,10,17,16416
3595,9,14,16382
3647,12,14,16327
3699,12,14,16275
3759,8,18,16215
3790,4,20,16186
3841,4,18,16137
3887,5,17,16091
3930,7,15,16048
3986,7,18,15989
4027,10,18,15945
4073,10,18,15899
4125,8,22,15845
4167,12,21,15800
4206,10,23,15761
4251,10,25,15714
4292,9,23,15676
4330,10,27,15633
4375,10,28,15587
4409,10,29,15552
4450,15,26,15509
4496,10,26,15468
4538,12,23,15427
4574,11,25,15390
4617,10,23,15350
4643,11,24,15322
4682,12,21,15285
4725,17,19,15239
4767,17,24,15192
4794,19,23,15164
4836,21,24,15119
4875,18,28,15079
4914,18,30,15038
4953,20,28,14999
4997,18,32,14953
5025,28,32,14915
5070,24,35,14871
5108,25,36,14831
5143,30,35,14792
5195,25,40,14740
5227,24,43,14706
5264,26,45,14665
5313,18,52,14617
5362,27,47,14564
5384,40,44,14532
5419,44,49,14488
5453,43,48,14456
5492,43,59,14406
5518,43,62,14377
5554,49,54,14343
5586,44,65,14305
5614,50,74,14262
5645,58,76,14221
5659,68,86,14187
5666,72,92,14170
5705,76,96,14123
5719,79,100,14102
5739,78,103,14080
5741,83,115,14061
5737,100,116,14047
5753,92,128,14027
5766,96,139,13999
5771,105,140,13984
5786,108,131,13975
5778,124,152,13946
5787,124,165,13924
5789,127,190,13894
5798,133,199,13870
5794,139,206,13861
5796,144,208,13852
5793,155,212,13840
5785,174,227,13814
5767,183,254,13796
5726,212,268,13794
5690,226,272,13812
5656,246,295,13803
5632,246,335,13787
5615,252,354,13779
5588,262,387,13763
5534,280,424,13762
5474,307,437,13782
5416,320,466,13798
5346,347,503,13804
5289,340,535,13836
5216,355,569,13860
5143,385,595,13877
5064,386,632,13918
5007,387,642,13964
4944,392,667,13997
4854,407,698,14041
4779,399,725,14097
4677,425,748,14150
4574,452,787,14187
4502,449,796,14253
4422,431,822,14325
4334,452,849,14365
4260,430,888,14422
4157,450,908,14485
4064,459,916,14561
3998,436,936,14630
3925,434,943,14698
3839,483,900,14778
3774,464,920,14842
3715,453,935,14897
3648,468,925,14959
3587,465,928,15020
3516,462,937,15085
3455,447,944,15154
3401,444,928,15227
3343,457,909,15291
3267,460,924,15349
3231,430,927,15412
3197,402,943,15458
3166,380,928,15526
3118,383,898,15601
3067,397,879,15657
3021,387,863,15729
3016,361,851,15772
2985,351,850,15814
2948,376,811,15865
2934,364,797,15905
2911,356,778,15955
2922,328,770,15980
2911,315,775,15999
2897,307,761,16035
2894,292,753,16061
2888,296,711,16105
2893,297,673,16137
2900,295,666,16139
2894,290,656,16160
2913,271,651,16165
2903,285,652,16160
2916,259,662,16163
2914,257,645,16184
2922,273,627,16178
2931,260,621,16188
2932,252,617,16199
2949,241,614,16196
2966,230,600,16204
2979,228,590,16203
3007,230,563,16200
3037,212,549,16202
3056,215,535,16194
3089,223,515,16173
3122,214,513,16151
3159,213,498,16130
3183,210,506,16101
3218,213,491,16078
3254,205,487,16054
3288,197,493,16022
3317,206,469,16008
3339,206,468,15987
3353,211,468,15968
3402,208,478,15912
3403,216,455,15926
3437,212,437,15914
3469,214,443,15874
3497,213,441,15849
3524,202,449,15825
3550,198,453,15799
3576,197,464,15763
3594,207,445,15754
3630,212,452,15706
3658,206,426,15710
3694,193,435,15678
3694,214,450,15642
3710,223,448,15619
3741,229,459,15571
3767,231,444,15558
3769,242,451,15538
3796,226,469,15509
3801,222,475,15502
3845,220,464,15471
3869,221,465,15445
3893,236,472,15399
3906,249,465,15380
3919,254,475,15352
3942,247,465,15346
3945,246,476,15333
3967,253,475,15305
3990,261,485,15264
3997,261,477,15265
4020,254,496,15230
4025,259,491,15225
4022,258,498,15222
4037,271,499,15193
4052,277,492,15179
4042,291,501,15166
4033,297,513,15157
4065,274,532,15129
4081,269,533,15117
4089,269,544,15098
4094,275,545,15086
4102,282,557,15059
4107,290,565,15038
4099,303,569,15029
4080,290,599,15031
4074,319,573,15034
4075,298,580,15047
4065,323,568,15044
4077,336,552,15035
4073,341,562,15024
4087,313,576,15024
4085,325,595,14995
4087,324,600,14989
4116,329,595,14960
4091,327,631,14951
4087,319,655,14939
4078,329,647,14946
4050,339,662,14949
4047,351,656,14946
4039,335,686,14940
4034,340,681,14945
4017,369,654,14960
4010,374,664,14952
4014,378,682,14926
3983,394,684,14939
3968,386,704,14942
3938,392,734,14936
3925,377,768,14930
3883,396,782,14939
3877,386,796,14941
3845,391,796,14968
3821,401,793,14985
3814,404,786,14996
3798,398,792,15012
3785,383,818,15014
3747,409,823,15021
3727,414,820,15039
3699,421,820,15060
3665,421,803,15111
3673,411,802,15114
3662,417,798,15123
3628,386,841,15145
3621,368,852,15159
3603,380,826,15191
3591,385,810,15214
3588,384,817,15211
3563,393,807,15237
3572,375,837,15216
3555,385,840,15220
3548,375,863,15214
3520,398,854,15228
3515,391,852,15242
3508,369,868,15255
3479,385,855,15281
3478,381,852,15289
3458,384,860,15298
3453,385,846,15316
3441,403,829,15327
3453,377,835,15335
3449,369,800,15382
3434,383,776,15407
3429,371,775,15425
3423,360,789,15428
3416,363,793,15428
3424,360,767,15449
3430,368,768,15434
3420,371,771,15438
3413,361,766,15460
3407,352,761,15480
3398,368,743,15491
3398,355,767,15480
3422,332,774,15472
3420,335,770,15475
3415,373,755,15457
3396,362,753,15489
3382,354,754,15510
3406,331,742,15521
3424,317,725,15534
3429,332,720,15519
3446,331,704,15519
3442,345,697,15516
3462,330,708,15500
3449,361,695,15495
3459,360,690,15491
3466,336,688,15510
3473,329,692,15506
3466,342,692,15500
3466,351,698,15485
3457,352,702,15489
3453,325,721,15501
3462,308,730,15500
3452,323,724,15501
3465,318,724,15493
3483,335,711,15471
3485,315,735,15465
3493,305,727,15475
3493,322,702,15483
3489,323,700,15488
3485,336,691,15488
3488,345,679,15488
3478,344,693,15485
3504,328,708,15460
3503,331,691,15475
3490,336,697,15477
3506,318,700,15476
3506,328,687,15479
3528,344,664,15464
