SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19953,24,20,3
19935,33,28,4
19917,44,31,8
19890,57,43,10
19855,80,47,18
19804,113,59,24
19759,120,86,35
19683,161,114,42
19565,239,135,61
19451,275,201,73
19280,373,250,97
19071,490,316,123
18783,636,410,171
18454,773,546,227
18030,997,675,298
17494,1262,861,383
16839,1567,1100,494
16021,1958,1393,628
15051,2368,1757,824
13940,2792,2202,1066
12649,3298,2717,1336
11249,3752,3302,1697
9795,4236,3860,2109
8309,4506,4555,2630
6867,4713,5211,3209
5460,4818,5866,3856
4357,4591,6482,4570
3375,4244,6954,5427
2552,3886,7162,6400
1939,3386,7342,7333
1461,2878,7350,8311
1122,2448,7169,9261
876,2067,6824,10233
692,1724,6509,11075
571,1383,6126,11920
467,1114,5737,12682
446,874,5277,13403
405,740,4790,14065
386,574,4380,14660
372,456,3947,15225
370,389,3518,15723
377,318,3188,16117
392,277,2851,16480
406,225,2548,16821
420,190,2262,17128
454,168,2033,17345
481,139,1815,17565
507,129,1610,17754
552,122,1407,17919
588,110,1232,18070
630,107,1090,18173
668,103,970,18259
705,88,875,18332
743,86,773,18398
781,76,688,18455
839,79,608,18474
897,68,540,18495
960,63,480,18497
1005,68,426,18501
1054,69,380,18497
1114,63,350,18473
1158,52,317,18473
1218,46,281,18455
1286,36,257,18421
1327,37,223,18413
1387,32,189,18392
1444,30,174,18352
1513,28,155,18304
1572,29,143,18256
1620,31,122,18227
1682,23,114,18181
1734,19,107,18140
1789,21,92,18098
1851,15,85,18049
1900,15,77,18008
1957,18,68,17957
2006,19,66,17909
2059,21,61,17859
2099,20,63,17818
2148,20,56,17776
2190,17,56,17737
2253,15,51,17681
2306,15,42,17637
2355,20,38,17587
2398,21,36,17545
2455,11,42,17492
2497,13,37,17453
2555,9,36,17400
2593,10,35,17362
2627,7,34,17332
2677,8,30,17285
2733,7,34,17226
2782,11,29,17178
2825,15,28,17132
2878,14,31,17077
2916,14,31,17039
2964,14,31,16991
3014,13,28,16945
3058,9,32,16901
3096,10,31,16863
3143,10,30,16817
3203,12,26,16759
3255,10,23,16712
3294,11,18,16677
3356,9,19,16616
3399,7,18,16576
3447,4,19,16530
3497,4,17,16482
3529,4,14,16453
3577,6,14,16403
3618,5,14,16363
3659,5,15,16321
3717,4,13,16266
3764,5,9,16222
3804,5,7,16184
3848,3,9,16140
3885,4,8,16103
3920,6,8,16066
3955,5,9,16031
4015,5,9,15971
4059,6,9,15926
4103,6,10,15881
4146,7,10,15837
4188,6,11,15795
4238,5,11,15746
4281,5,9,15705
4341,5,9,15645
4386,6,8,15600
4426,3,9,15562
4475,3,7,15515
4516,3,3,15478
4546,1,5,15448
4590,2,3,15405
4644,0,4,15352
4690,0,3,15307
4725,0,3,15272
4764,0,2,15234
4802,0,2,15196
4845,0,2,15153
4891,1,2,15106
4940,1,1,15058
4988,0,2,15010
5034,0,1,14965
5093,0,1,14906
5142,0,1,14857
5184,0,0,14816
5221,0,0,14779
5256,0,0,14744
5301,0,0,14699
5332,0,0,14668
5378,0,0,14622
5412,0,0,14588
5466,0,0,14534
5513,0,0,14487
5550,0,0,14450
5587,0,0,14413
5630,0,0,14370
5678,0,0,14322
5722,0,0,14278
5773,0,0,14227
5815,0,0,14185
5856,0,0,14144
5888,0,0,14112
5923,0,0,14077
5966,0,0,14034
6014,0,0,13986
6053,0,0,13947
6089,0,0,13911
6135,0,0,13865
6176,0,0,13824
6212,0,0,13788
6254,0,0,13746
6293,0,0,13707
6330,0,0,13670
6362,0,0,13638
6392,0,0,13608
6436,0,0,13564
6469,0,0,13531
6507,0,0,13493
6552,0,0,13448
6586,0,0,13414
6619,0,0,13381
6661,0,0,13339
6700,0,0,13300
6733,0,0,13267
6767,0,0,13233
6805,0,0,13195
6840,0,0,13160
6881,0,0,13119
6922,0,0,13078
6963,0,0,13037
6998,0,0,13002
7034,0,0,12966
7077,0,0,12923
7123,0,0,12877
7163,0,0,12837
7213,0,0,12787
7249,0,0,12751
7279,0,0,12721
7310,0,0,12690
7336,0,0,12664
7373,0,0,12627
7402,0,0,12598
7437,0,0,12563
7470,0,0,12530
7508,0,0,12492
7544,0,0,12456
7568,0,0,12432
7611,0,0,12389
7652,0,0,12348
7684,0,0,12316
7716,0,0,12284
7743,0,0,12257
7776,0,0,12224
7799,0,0,12201
7833,0,0,12167
7868,0,0,12132
7898,0,0,12102
7930,0,0,12070
7961,0,0,12039
8006,0,0,11994
8033,0,0,11967
8072,0,0,11928
8103,0,0,11897
8126,0,0,11874
8157,0,0,11843
8194,0,0,11806
8231,0,0,11769
8268,0,0,11732
8294,0,0,11706
8330,0,0,11670
8369,0,0,11631
8398,0,0,11602
8429,0,0,11571
8460,0,0,11540
8491,0,0,11509
8526,0,0,11474
8564,0,0,11436
8594,0,0,11406
8627,0,0,11373
8666,0,0,11334
8693,0,0,11307
8718,0,0,11282
8745,0,0,11255
8775,0,0,11225
8812,0,0,11188
8843,0,0,11157
8869,0,0,11131
