SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19967,13,20,0
19949,29,21,1
19927,48,19,6
19896,66,29,9
19860,82,46,12
19810,113,62,15
19755,138,78,29
19693,162,107,38
19587,225,139,49
19469,277,189,65
19307,357,249,87
19086,478,318,118
18800,648,399,153
18441,808,542,209
18012,1023,677,288
17473,1262,874,391
16786,1559,1147,508
16021,1870,1440,669
15012,2364,1768,856
13897,2840,2197,1066
12586,3316,2734,1364
11251,3718,3321,1710
9853,4062,3918,2167
8298,4459,4549,2694
6867,4685,5141,3307
5483,4761,5746,4010
4322,4527,6373,4778
3349,4266,6723,5662
2591,3872,6982,6555
2008,3393,7110,7489
1521,2939,7112,8428
1157,2508,7032,9303
901,2093,6747,10259
749,1698,6383,11170
616,1351,6053,11980
529,1091,5644,12736
467,895,5166,13472
418,730,4733,14119
386,601,4308,14705
380,492,3893,15235
381,398,3500,15721
408,323,3118,16151
408,279,2785,16528
419,243,2468,16870
437,213,2196,17154
460,181,1962,17397
481,155,1763,17601
526,129,1572,17773
568,107,1403,17922
605,102,1263,18030
649,97,1120,18134
677,112,981,18230
738,104,885,18273
760,117,776,18347
787,107,703,18403
830,92,643,18435
875,80,585,18460
932,80,519,18469
980,77,471,18472
1039,68,425,18468
1092,63,383,18462
1144,57,343,18456
1176,51,312,18461
1220,50,287,18443
1272,38,257,18433
1306,49,231,18414
1372,41,210,18377
1439,40,187,18334
1490,45,164,18301
1541,42,146,18271
1574,38,143,18245
1634,37,135,18194
1693,30,133,18144
1758,24,129,18089
1820,29,117,18034
1859,32,104,18005
1934,24,99,17943
1996,21,91,17892
2049,21,91,17839
2109,21,88,17782
2166,23,80,17731
2222,28,71,17679
2287,27,70,17616
2321,23,72,17584
2368,19,70,17543
2429,18,66,17487
2486,18,62,17434
2538,15,59,17388
2590,15,59,17336
2640,18,47,17295
2702,16,45,17237
2750,16,44,17190
2804,15,46,17135
2867,18,45,17070
2925,17,41,17017
2975,20,40,16965
3035,18,40,16907
3081,16,34,16869
3124,11,38,16827
3159,11,40,16790
3183,17,27,16773
3233,17,23,16727
