SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19963,17,20,0
19939,37,22,2
19927,34,37,2
19903,49,38,10
19871,67,47,15
19833,87,59,21
19788,113,72,27
19733,130,98,39
19663,161,122,54
19574,199,156,71
19437,292,182,89
19274,359,260,107
19029,512,324,135
18746,651,427,176
18429,791,542,238
17981,1006,710,303
17420,1264,922,394
16710,1598,1193,499
15819,2006,1526,649
14751,2508,1895,846
13569,3012,2330,1089
12301,3438,2842,1419
10893,3900,3418,1789
9451,4224,4061,2264
7964,4521,4680,2835
6545,4708,5299,3448
5252,4651,5948,4149
4138,4430,6502,4930
3142,4221,6836,5801
2411,3796,7081,6712
1834,3332,7179,7655
1421,2850,7154,8575
1122,2338,7070,9470
866,1941,6775,10418
706,1568,6455,11271
560,1294,6036,12110
488,1040,5570,12902
429,837,5118,13616
398,664,4692,14246
379,518,4290,14813
358,449,3861,15332
362,381,3450,15807
362,321,3113,16204
397,258,2780,16565
424,211,2479,16886
462,174,2217,17147
483,158,1977,17382
499,147,1748,17606
514,134,1577,17775
557,113,1414,17916
598,102,1266,18034
614,94,1114,18178
658,86,985,18271
699,89,864,18348
742,84,768,18406
785,86,685,18444
835,79,614,18472
880,72,569,18479
929,63,502,18506
987,58,455,18500
1027,70,405,18498
1071,68,364,18497
1116,62,338,18484
1164,73,304,18459
1208,64,281,18447
1269,59,261,18411
1337,49,246,18368
1406,47,231,18316
1453,39,205,18303
1492,35,183,18290
1552,36,166,18246
1603,33,149,18215
1668,29,137,18166
1716,25,123,18136
1776,26,105,18093
1827,19,103,18051
1886,19,90,18005
1949,22,85,17944
2000,20,75,17905
2047,21,72,17860
2093,21,66,17820
2140,17,67,17776
2189,15,65,17731
2235,14,60,17691
2297,17,58,17628
2338,10,60,17592
2399,11,57,17533
2456,12,53,17479
2507,10,48,17435
2549,14,42,17395
2607,12,41,17340
2662,10,40,17288
2720,11,35,17234
2781,6,34,17179
2831,6,33,17130
2881,6,34,17079
2924,11,32,17033
2970,18,30,16982
3009,21,23,16947
3076,16,27,16881
3123,18,22,16837
3167,11,27,16795
3205,8,28,16759
3241,10,28,16721
3298,10,28,16664
3341,15,26,16618
3397,7,30,16566
3431,6,25,16538
3475,8,25,16492
3521,8,23,16448
3565,8,23,16404
3612,7,18,16363
3651,9,14,16326
3683,9,16,16292
3730,8,19,16243
3767,9,17,16207
3815,9,16,16160
3863,9,18,16110
3907,8,20,16065
3947,13,16,16024
3999,12,14,15975
4050,9,16,15925
4091,10,16,15883
4127,10,14,15849
4176,10,13,15801
4218,5,18,15759
4259,8,17,15716
4294,11,17,15678
4334,12,19,15635
4373,8,17,15602
4404,8,17,15571
4437,8,15,15540
4477,8,16,15499
4517,6,20,15457
4566,7,19,15408
4603,8,19,15370
4651,9,18,15322
4686,9,20,15285
