SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19948,27,23,2
19926,39,30,5
19902,50,34,14
19869,75,39,17
19841,78,61,20
19782,116,76,26
19702,161,100,37
19608,212,130,50
19491,273,169,67
19356,332,217,95
19160,427,282,131
18925,551,356,168
18628,689,477,206
18263,867,601,269
17809,1078,772,341
17242,1320,975,463
16536,1665,1193,606
15678,2050,1498,774
14671,2486,1913,930
13495,2944,2372,1189
12110,3466,2943,1481
10706,3903,3500,1891
9199,4290,4120,2391
7627,4651,4822,2900
6263,4724,5478,3535
5050,4646,6095,4209
3950,4469,6563,5018
3030,4098,7014,5858
2305,3685,7257,6753
1756,3170,7373,7701
1313,2736,7248,8703
1000,2286,7097,9617
785,1871,6766,10578
636,1481,6398,11485
544,1193,5974,12289
472,959,5501,13068
424,771,5062,13743
389,660,4602,14349
365,540,4215,14880
376,433,3809,15382
389,346,3387,15878
401,287,2992,16320
413,254,2660,16673
426,211,2394,16969
454,174,2132,17240
495,157,1869,17479
513,141,1694,17652
554,128,1493,17825
582,115,1326,17977
631,104,1195,18070
669,102,1054,18175
712,96,934,18258
739,105,837,18319
795,95,767,18343
826,87,699,18388
872,71,634,18423
927,65,569,18439
975,62,514,18449
1022,62,448,18468
1075,63,403,18459
1110,53,376,18461
1167,45,341,18447
1212,51,302,18435
1255,48,270,18427
1296,55,249,18400
1337,59,221,18383
1404,54,209,18333
1455,44,204,18297
1501,39,192,18268
1549,48,167,18236
1595,44,152,18209
1660,43,135,18162
1723,36,127,18114
1779,38,113,18070
1830,29,101,18040
1872,31,90,18007
1920,26,90,17964
1983,25,83,17909
2040,27,74,17859
2089,24,76,17811
2127,28,61,17784
2183,22,63,17732
2241,19,55,17685
2297,16,53,17634
2353,19,47,17581
2406,15,49,17530
2455,16,48,17481
2516,19,42,17423
2568,14,44,17374
2614,16,41,17329
2673,13,38,17276
2712,15,30,17243
2757,10,32,17201
2811,10,32,17147
2863,12,29,17096
2929,11,28,17032
2979,14,26,16981
3030,11,27,16932
3082,10,25,16883
3122,11,25,16842
3160,15,24,16801
3211,11,29,16749
3257,12,25,16706
3298,10,27,16665
3351,11,30,16608
3400,12,29,16559
3445,11,27,16517
3498,12,24,16466
3551,14,21,16414
3599,12,23,16366
3640,14,20,16326
3692,13,20,16275
3723,10,22,16245
3769,11,21,16199
3813,12,22,16153
3855,7,26,16112
3890,8,23,16079
3928,10,24,16038
3968,13,22,15997
4004,12,23,15961
4042,10,25,15923
4085,10,23,15882
4125,11,24,15840
4166,8,26,15800
4216,9,24,15751
4272,7,28,15693
4322,12,26,15640
4355,12,22,15611
4395,12,22,15571
4438,12,19,15531
4488,10,21,15481
4533,13,19,15435
4577,14,18,15391
4622,9,21,15348
4664,12,20,15304
4705,10,24,15261
4736,14,24,15226
4770,15,25,15190
4825,14,24,15137
4864,12,27,15097
4906,12,27,15055
4951,11,26,15012
4997,10,26,14967
5032,12,20,14936
5052,17,22,14909
5090,19,22,14869
5126,22,21,14831
5166,19,26,14789
5208,20,26,14746
5244,16,29,14711
5273,18,29,14680
5310,17,29,14644
5333,22,28,14617
5378,16,30,14576
5407,24,30,14539
5443,25,32,14500
5470,32,30,14468
5501,34,31,14434
