SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19965,15,20,0
19953,22,21,4
19936,32,24,8
19917,44,28,11
19894,51,40,15
19866,65,49,20
19823,88,62,27
19760,124,82,34
19702,142,113,43
19607,201,132,60
19501,256,161,82
19336,350,210,104
19153,436,283,128
18896,561,377,166
18545,753,494,208
18149,949,632,270
17685,1131,828,356
17051,1412,1073,464
16274,1796,1341,589
15355,2202,1688,755
14185,2728,2122,965
12893,3212,2661,1234
11457,3752,3240,1551
10020,4108,3871,2001
8436,4533,4513,2518
6960,4727,5211,3102
5561,4793,5841,3805
4350,4618,6474,4558
3318,4395,6896,5391
2542,3909,7274,6275
1935,3391,7436,7238
1461,2911,7474,8154
1109,2461,7306,9124
893,2033,7053,10021
726,1645,6683,10946
590,1348,6268,11794
491,1098,5816,12595
433,868,5371,13328
407,697,4841,14055
373,568,4415,14644
353,460,4036,15151
336,400,3577,15687
336,330,3209,16125
336,280,2865,16519
358,241,2557,16844
373,203,2252,17172
409,172,2007,17412
429,154,1793,17624
461,133,1590,17816
502,119,1415,17964
541,109,1275,18075
596,100,1114,18190
645,89,990,18276
686,89,871,18354
722,86,767,18425
764,90,691,18455
812,81,612,18495
851,79,539,18531
903,72,475,18550
948,74,420,18558
997,55,392,18556
1054,53,335,18558
1096,64,294,18546
1148,52,262,18538
1217,45,232,18506
1267,45,206,18482
1326,38,180,18456
1380,32,161,18427
1441,25,150,18384
1503,22,135,18340
1547,23,119,18311
1600,21,114,18265
1660,18,101,18221
1720,21,93,18166
1768,25,83,18124
1829,28,72,18071
1885,23,75,18017
1937,21,74,17968
1998,24,65,17913
2048,19,60,17873
2104,16,56,17824
2152,19,49,17780
2212,14,52,17722
2256,16,46,17682
2299,15,49,17637
2356,13,39,17592
2401,14,33,17552
2466,11,27,17496
2515,13,24,17448
2556,12,22,17410
2607,7,24,17362
2662,7,25,17306
2710,10,25,17255
2762,7,22,17209
2801,13,21,17165
2843,8,23,17126
2879,13,22,17086
2928,11,24,17037
2973,12,24,16991
3014,10,22,16954
3072,10,20,16898
3112,7,23,16858
3156,7,22,16815
3208,9,22,16761
3252,7,21,16720
3294,5,21,16680
3344,9,15,16632
3377,8,13,16602
3418,10,11,16561
3466,9,12,16513
3509,9,14,16468
3565,7,14,16414
3600,8,13,16379
3646,7,15,16332
3679,7,17,16297
3720,10,16,16254
3764,10,16,16210
3800,8,17,16175
3847,8,15,16130
3892,10,15,16083
3938,8,18,16036
3971,10,21,15998
4014,8,22,15956
4049,12,24,15915
4093,10,25,15872
4134,11,26,15829
4172,14,27,15787
4213,14,29,15744
4253,18,27,15702
4298,21,27,15654
4338,23,27,15612
4375,26,28,15571
4412,22,33,15533
4451,20,36,15493
4509,21,41,15429
4542,25,45,15388
4586,27,45,15342
4626,29,49,15296
4660,26,54,15260
4685,32,55,15228
4713,31,52,15204
4731,40,52,15177
4768,34,58,15140
4799,38,56,15107
4830,29,67,15074
4867,30,66,15037
4892,35,58,15015
4930,37,59,14974
4972,42,57,14929
5003,50,58,14889
5041,39,68,14852
5070,34,71,14825
5115,28,79,14778
5154,35,72,14739
5188,39,75,14698
5218,41,74,14667
5257,49,68,14626
5295,43,79,14583
5328,40,86,14546
5350,46,83,14521
5378,51,88,14483
5404,53,94,14449
5419,60,97,14424
5433,58,113,14396
5449,71,115,14365
5465,80,122,14333
5471,90,130,14309
5481,93,134,14292
5484,94,143,14279
5487,95,151,14267
5499,91,171,14239
5506,100,175,14219
5512,101,186,14201
5525,109,185,14181
5543,123,177,14157
5548,135,188,14129
5546,135,192,14127
5558,134,198,14110
5554,129,217,14100
5530,159,225,14086
5537,163,232,14068
5520,166,261,14053
5493,188,278,14041
5472,187,314,14027
5443,211,315,14031
5413,217,337,14033
5401,224,339,14036
5376,245,360,14019
5349,251,380,14020
5308,273,401,14018
5267,281,414,14038
5242,296,422,14040
5183,332,444,14041
5151,314,474,14061
5105,311,490,14094
5030,343,511,14116
4974,343,556,14127
4914,362,580,14144
4871,349,606,14174
4799,364,621,14216
4725,394,624,14257
4657,394,647,14302
4579,410,669,14342
4496,444,685,14375
4434,430,732,14404
4346,428,772,14454
4306,411,799,14484
4220,419,809,14552
4139,408,840,14613
4048,443,834,14675
3973,440,826,14761
3908,441,822,14829
3824,450,840,14886
3754,436,862,14948
3706,411,883,15000
3661,388,885,15066
3597,417,853,15133
3562,406,843,15189
3497,435,811,15257
3443,427,821,15309
3405,424,821,15350
3347,419,834,15400
3318,394,860,15428
3282,415,826,15477
3262,396,830,15512
3219,360,859,15562
3189,345,848,15618
3156,337,848,15659
3122,336,832,15710
3088,328,829,15755
3091,317,820,15772
3060,338,766,15836
3037,325,767,15871
3040,299,766,15895
3042,286,754,15918
3033,304,728,15935
3020,276,737,15967
3009,283,714,15994
3018,261,689,16032
3031,270,655,16044
3048,260,641,16051
3065,235,626,16074
3047,240,611,16102
3068,230,588,16114
3090,234,567,16109
3088,243,537,16132
3093,240,522,16145
3096,247,528,16129
3143,228,513,16116
3177,214,500,16109
3198,207,491,16104
3239,191,479,16091
3255,203,444,16098
3277,216,437,16070
3286,219,436,16059
3314,197,441,16048
3345,194,440,16021
3377,201,422,16000
3401,203,413,15983
3418,206,428,15948
3441,208,427,15924
3454,219,414,15913
3500,202,420,15878
3526,205,402,15867
3560,205,399,15836
3579,206,407,15808
3603,194,418,15785
3615,217,401,15767
3642,202,404,15752
3669,207,405,15719
3692,206,411,15691
3709,197,425,15669
3744,203,430,15623
3792,194,424,15590
3816,183,425,15576
3816,198,425,15561
3824,221,415,15540
3853,208,441,15498
3856,218,440,15486
3894,202,455,15449
3923,208,453,15416
3932,209,442,15417
3938,244,433,15385
3953,242,450,15355
3972,237,460,15331
3989,242,454,15315
3993,249,453,15305
4004,251,465,15280
4019,254,480,15247
4034,254,484,15228
4059,243,470,15228
4064,243,474,15219
4098,236,478,15188
4111,243,467,15179
4124,257,467,15152
4142,249,501,15108
4147,256,492,15105
4151,257,497,15095
4153,257,487,15103
4151,264,478,15107
4155,278,499,15068
4160,271,525,15044
4162,271,535,15032
4140,282,572,15006
4151,294,559,14996
4152,293,554,15001
4130,297,571,15002
4124,316,572,14988
4110,312,601,14977
4112,301,601,14986
4102,326,597,14975
4085,354,609,14952
4084,334,628,14954
4050,337,656,14957
4034,347,683,14936
4029,347,689,14935
4001,367,690,14942
3983,354,699,14964
3968,357,709,14966
3951,359,704,14986
3903,356,721,15020
3887,377,701,15035
3852,377,726,15045
3836,389,727,15048
3800,389,750,15061
3746,416,752,15086
3725,419,765,15091
3707,412,759,15122
3678,411,762,15149
3659,399,777,15165
3632,409,783,15176
3632,414,776,15178
3592,412,781,15215
3561,403,809,15227
3536,396,821,15247
3519,384,818,15279
3494,381,849,15276
3451,396,843,15310
3470,385,833,15312
3448,393,811,15348
3441,378,818,15363
3448,369,800,15383
3442,362,802,15394
3433,349,790,15428
3429,334,795,15442
3454,333,763,15450
3421,369,741,15469
3422,369,740,15469
3406,357,754,15483
3394,365,738,15503
3388,382,721,15509
3411,365,732,15492
3405,362,715,15518
3384,365,727,15524
3375,353,756,15516
3403,331,771,15495
3379,345,784,15492
3353,363,777,15507
3360,362,766,15512
3356,357,777,15510
3348,362,768,15522
3336,367,776,15521
3334,377,764,15525
