SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19945,32,22,1
19923,43,30,4
19904,48,42,6
19855,82,52,11
19820,94,64,22
19772,118,82,28
19697,159,102,42
19619,188,137,56
19495,260,171,74
19355,324,224,97
19176,402,301,121
18913,551,380,156
18586,714,494,206
18202,896,633,269
17673,1175,801,351
17072,1414,1064,450
16330,1776,1312,582
15381,2210,1648,761
14384,2598,2036,982
13150,3096,2542,1212
11766,3614,3078,1542
10322,4030,3735,1913
8810,4461,4298,2431
7300,4696,5060,2944
5927,4770,5689,3614
4644,4746,6260,4350
3591,4442,6801,5166
2745,4018,7164,6073
2066,3561,7398,6975
1532,3102,7417,7949
1205,2582,7287,8926
951,2163,7002,9884
762,1748,6704,10786
617,1371,6375,11637
514,1145,5865,12476
456,911,5408,13225
421,717,4905,13957
375,585,4455,14585
380,464,4021,15135
383,367,3636,15614
393,306,3237,16064
404,257,2870,16469
413,217,2540,16830
436,190,2270,17104
451,172,2024,17353
476,156,1811,17557
513,136,1617,17734
545,125,1452,17878
587,120,1275,18018
621,108,1126,18145
652,109,1009,18230
686,99,935,18280
740,80,841,18339
789,73,759,18379
842,64,681,18413
889,59,591,18461
932,67,517,18484
996,68,458,18478
1036,66,415,18483
1085,61,367,18487
1130,69,337,18464
1183,55,305,18457
1223,59,278,18440
1278,55,248,18419
1333,39,237,18391
1379,46,201,18374
1455,49,187,18309
1496,44,169,18291
1538,40,162,18260
1588,45,141,18226
1641,40,131,18188
1704,36,121,18139
1762,34,111,18093
1827,26,112,18035
1885,23,101,17991
1932,19,90,17959
1997,14,88,17901
2058,20,82,17840
2098,19,81,17802
2149,20,70,17761
2196,18,67,17719
2243,19,63,17675
2292,18,60,17630
2333,17,57,17593
2403,12,53,17532
2458,12,46,17484
2510,14,40,17436
2554,16,34,17396
2604,15,35,17346
2653,14,35,17298
2721,14,34,17231
2767,11,35,17187
2815,12,33,17140
2880,11,31,17078
2921,10,32,17037
2977,9,29,16985
3019,13,30,16938
3067,8,29,16896
3125,5,28,16842
3163,7,26,16804
3219,5,25,16751
3264,5,22,16709
3322,5,19,16654
3372,4,18,16606
3424,5,16,16555
3459,6,15,16520
3501,5,13,16481
3540,5,15,16440
3601,6,15,16378
3652,5,13,16330
3694,7,12,16287
3732,2,17,16249
3769,5,11,16215
3816,5,11,16168
3864,5,10,16121
3920,3,11,16066
3970,3,12,16015
4009,5,11,15975
4065,5,12,15918
4103,1,14,15882
4141,6,12,15841
4186,8,11,15795
4241,9,10,15740
4280,5,13,15702
4340,5,12,15643
4382,3,13,15602
4418,4,12,15566
4468,6,11,15515
4511,10,10,15469
4553,5,13,15429
4596,7,15,15382
4641,7,13,15339
4679,12,13,15296
4713,15,13,15259
4748,13,15,15224
4789,12,17,15182
4821,10,21,15148
4862,11,23,15104
4905,9,26,15060
4935,14,23,15028
4971,10,25,14994
4997,18,27,14958
5031,17,28,14924
5069,18,29,14884
5106,18,27,14849
5153,13,32,14802
5189,18,29,14764
5219,18,32,14731
5249,17,34,14700
5283,12,36,14669
5320,11,33,14636
5347,16,25,14612
5377,16,23,14584
5409,17,23,14551
5440,14,26,14520
5472,15,27,14486
5517,13,29,14441
5557,13,30,14400
5581,22,27,14370
5617,21,28,14334
5648,20,31,14301
5681,25,31,14263
5716,31,31,14222
5750,32,34,14184
5789,33,40,14138
5828,31,43,14098
5850,41,45,14064
5870,39,51,14040
5897,31,59,14013
5921,32,62,13985
5947,45,64,13944
5977,37,72,13914
6009,35,72,13884
6031,40,73,13856
6054,49,75,13822
6074,53,84,13789
6098,60,90,13752
6127,61,95,13717
6150,59,97,13694
6175,65,99,13661
6189,69,98,13644
6207,79,102,13612
6233,81,125,13561
6251,80,133,13536
6242,97,137,13524
6249,102,139,13510
6255,104,157,13484
6245,109,179,13467
6253,122,185,13440
6233,140,197,13430
6214,146,208,13432
6201,151,231,13417
6181,166,245,13408
6172,167,261,13400
6147,184,272,13397
6130,201,278,13391
6093,210,308,13389
6073,213,333,13381
6027,226,371,13376
5980,250,400,13370
5936,271,410,13383
5873,303,434,13390
5812,318,478,13392
5742,349,502,13407
5673,353,540,13434
5610,357,554,13479
5540,381,576,13503
5457,419,614,13510
5399,417,635,13549
5301,428,666,13605
5183,453,721,13643
5081,475,760,13684
4956,515,800,13729
4820,529,843,13808
4693,553,882,13872
4569,574,927,13930
4433,610,955,14002
4312,591,1021,14076
4182,592,1058,14168
4048,610,1089,14253
3879,624,1130,14367
3772,609,1142,14477
3680,605,1155,14560
3543,619,1184,14654
3417,600,1227,14756
3326,576,1196,14902
3235,564,1217,14984
3151,531,1219,15099
3087,505,1206,15202
3009,484,1175,15332
2951,446,1181,15422
2884,447,1148,15521
2825,423,1113,15639
2773,417,1116,15694
2728,416,1092,15764
2672,413,1051,15864
