SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19963,17,20,0
19952,22,23,3
19934,35,24,7
19922,38,26,14
19899,54,29,18
19874,67,37,22
19851,69,53,27
19802,98,69,31
19750,127,82,41
19681,165,98,56
19588,221,122,69
19477,278,163,82
19347,334,217,102
19129,447,293,131
18895,552,376,177
18564,729,488,219
18102,1001,601,296
17578,1250,805,367
16948,1528,1056,468
16172,1871,1342,615
15241,2288,1698,773
14128,2738,2113,1021
12919,3189,2596,1296
11579,3630,3125,1666
10134,4025,3740,2101
8653,4360,4379,2608
7162,4589,5094,3155
5797,4695,5722,3786
4596,4555,6309,4540
3572,4293,6777,5358
2719,3928,7112,6241
2099,3429,7288,7184
1587,2983,7290,8140
1240,2515,7125,9120
943,2096,6869,10092
761,1770,6495,10974
627,1439,6110,11824
549,1156,5711,12584
478,924,5265,13333
439,722,4810,14029
410,585,4388,14617
383,498,3949,15170
387,402,3545,15666
406,318,3203,16073
409,278,2859,16454
423,237,2539,16801
444,198,2243,17115
460,174,2009,17357
480,153,1796,17571
516,129,1577,17778
541,125,1404,17930
594,108,1242,18056
642,104,1108,18146
676,88,991,18245
730,75,879,18316
776,75,786,18363
814,74,709,18403
847,68,630,18455
907,62,564,18467
964,55,487,18494
1032,52,425,18491
1073,45,389,18493
1124,51,346,18479
1174,40,313,18473
1233,39,287,18441
1270,38,264,18428
1331,36,243,18390
1389,35,223,18353
1440,41,197,18322
1483,41,174,18302
1541,41,159,18259
1601,43,144,18212
1672,44,130,18154
1715,43,126,18116
1771,43,112,18074
1833,43,104,18020
1887,37,102,17974
1937,38,96,17929
1985,27,93,17895
2032,28,89,17851
2089,28,78,17805
2140,22,72,17766
2186,23,68,17723
2233,21,64,17682
2281,23,60,17636
2326,19,59,17596
2389,18,54,17539
2440,23,46,17491
2482,25,48,17445
2535,21,45,17399
2583,19,43,17355
2634,16,41,17309
2693,13,36,17258
2734,14,40,17212
2799,12,31,17158
2850,11,26,17113
2899,11,25,17065
2945,6,30,17019
2999,6,28,16967
3056,6,25,16913
3092,7,19,16882
3150,11,18,16821
3193,9,18,16780
3246,8,16,16730
3300,6,16,16678
3340,8,16,16636
3379,7,13,16601
3428,6,16,16550
3484,5,13,16498
3522,4,11,16463
3570,3,11,16416
3631,3,11,16355
3679,6,11,16304
3718,5,13,16264
3761,4,13,16222
3812,6,12,16170
3866,4,10,16120
3927,4,8,16061
3979,4,6,16011
4034,7,6,15953
4075,4,9,15912
4117,6,8,15869
4158,10,7,15825
4204,9,7,15780
4241,6,8,15745
4292,8,10,15690
4332,7,13,15648
4374,9,13,15604
4422,9,12,15557
4474,10,14,15502
4510,11,13,15466
4548,7,17,15428
4583,7,15,15395
4615,8,15,15362
4653,9,17,15321
4700,7,18,15275
4731,8,19,15242
4769,8,17,15206
4812,9,18,15161
4858,11,18,15113
4912,11,16,15061
4952,13,18,15017
4990,19,20,14971
5032,15,24,14929
5067,14,25,14894
5096,16,28,14860
5122,20,25,14833
5161,19,24,14796
5198,20,26,14756
5229,21,28,14722
5266,12,33,14689
5295,14,29,14662
5331,15,30,14624
5363,16,32,14589
5382,21,29,14568
5408,18,34,14540
5439,24,31,14506
5479,25,29,14467
5509,25,31,14435
5543,20,36,14401
5575,24,35,14366
5619,27,35,14319
5650,28,35,14287
5685,33,33,14249
5723,35,34,14208
5749,33,41,14177
5781,38,39,14142
5813,39,46,14102
5837,39,54,14070
5866,38,63,14033
5887,45,60,14008
5919,48,62,13971
5960,48,67,13925
5980,53,70,13897
5995,60,70,13875
6016,66,81,13837
6029,72,82,13817
6056,71,85,13788
6061,77,94,13768
6075,85,100,13740
6090,89,102,13719
6101,93,117,13689
6134,82,128,13656
6146,93,137,13624
6157,100,140,13603
6166,102,147,13585
6168,113,167,13552
6197,126,175,13502
6194,130,184,13492
6188,151,187,13474
6189,162,204,13445
6192,156,221,13431
6185,162,227,13426
6173,176,240,13411
6166,171,270,13393
6124,215,271,13390
6110,209,295,13386
6072,231,287,13410
6039,242,313,13406
6002,253,340,13405
5960,266,364,13410
5890,287,391,13432
5847,301,396,13456
5801,309,433,13457
5758,305,475,13462
5697,327,505,13471
5624,343,532,13501
5545,362,547,13546
5472,378,582,13568
5392,392,610,13606
5292,420,645,13643
5211,436,675,13678
5134,433,724,13709
5007,482,766,13745
4921,492,786,13801
4790,534,808,13868
4689,521,877,13913
4565,548,882,14005
4449,540,929,14082
4361,546,926,14167
4265,537,959,14239
4153,534,998,14315
4044,539,1000,14417
3931,545,1033,14491
3838,536,1038,14588
3753,527,1049,14671
3667,532,1040,14761
3596,502,1064,14838
3526,490,1067,14917
3443,490,1045,15022
3371,490,1034,15105
3289,500,1028,15183
3224,483,1021,15272
3200,448,1025,15327
3146,437,1035,15382
3102,424,1019,15455
3061,405,991,15543
3011,402,958,15629
2969,405,924,15702
2930,402,912,15756
2882,400,886,15832
2842,409,858,15891
2832,370,848,15950
2812,365,837,15986
2814,329,846,16011
2802,312,815,16071
2788,305,798,16109
2775,293,792,16140
2793,278,748,16181
2783,276,732,16209
2790,263,728,16219
2834,255,704,16207
2848,252,683,16217
2852,258,661,16229
2874,257,649,16220
2887,245,648,16220
2892,267,623,16218
2905,257,606,16232
2913,239,620,16228
2938,226,588,16248
2960,212,579,16249
2984,199,560,16257
2996,196,558,16250
2995,206,527,16272
3017,198,506,16279
3029,215,502,16254
3050,219,492,16239
3077,223,481,16219
3122,216,472,16190
3159,208,459,16174
3195,206,449,16150
3221,212,431,16136
3257,202,425,16116
3289,194,425,16092
3331,196,399,16074
3359,168,405,16068
3403,171,391,16035
3429,183,371,16017
3454,187,385,15974
3488,194,388,15930
3526,175,392,15907
3559,183,375,15883
3575,187,367,15871
3633,190,355,15822
3661,201,346,15792
3685,193,364,15758
3700,199,352,15749
3729,202,355,15714
3758,207,363,15672
3786,203,371,15640
3823,203,384,15590
3858,197,390,15555
3889,199,393,15519
3914,190,406,15490
3951,190,390,15469
3976,197,375,15452
4016,202,373,15409
4064,205,361,15370
4106,196,379,15319
4109,221,387,15283
4121,219,390,15270
4167,208,411,15214
4173,216,416,15195
4194,225,427,15154
4206,227,434,15133
4214,240,432,15114
4212,248,451,15089
4210,270,460,15060
4223,267,473,15037
4241,258,478,15023
4245,261,485,15009
4262,273,472,14993
4255,277,481,14987
4279,272,497,14952
4291,286,497,14926
4310,290,504,14896
4284,327,529,14860
4272,315,560,14853
4277,307,576,14840
4266,315,598,14821
4261,337,591,14811
4265,326,606,14803
4282,319,602,14797
4267,339,599,14795
4246,355,603,14796
4235,391,607,14767
4221,388,626,14765
4200,385,653,14762
4192,379,674,14755
4153,394,689,14764
4124,395,702,14779
4090,393,728,14789
4056,425,733,14786
4055,411,731,14803
4035,387,737,14841
3994,393,734,14879
3968,397,743,14892
