SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19969,11,20,0
19948,30,21,1
19928,46,22,4
19913,49,31,7
19884,63,40,13
19841,85,55,19
19795,112,69,24
19726,154,89,31
19637,192,125,46
19503,260,182,55
19360,338,217,85
19161,450,271,118
18922,564,364,150
18609,700,482,209
18233,857,625,285
17767,1074,790,369
17149,1380,998,473
16387,1754,1253,606
15523,2146,1540,791
14528,2531,1949,992
13308,3043,2411,1238
11983,3533,2898,1586
10594,3918,3549,1939
9179,4233,4154,2434
7700,4484,4803,3013
6293,4604,5463,3640
5019,4547,6039,4395
3901,4425,6474,5200
3073,3985,6865,6077
2346,3640,7058,6956
1809,3154,7116,7921
1415,2636,7040,8909
1074,2266,6887,9773
851,1861,6683,10605
711,1521,6319,11449
598,1250,5928,12224
527,970,5478,13025
462,787,5056,13695
438,649,4547,14366
415,535,4105,14945
431,429,3728,15412
429,337,3350,15884
421,272,2977,16330
445,244,2642,16669
461,209,2344,16986
491,163,2106,17240
499,157,1857,17487
523,142,1662,17673
554,108,1510,17828
577,120,1342,17961
598,107,1189,18106
644,93,1052,18211
680,93,934,18293
715,88,844,18353
761,81,738,18420
801,76,657,18466
853,63,596,18488
895,58,529,18518
959,48,469,18524
1005,50,403,18542
1062,44,356,18538
1112,36,318,18534
1184,34,278,18504
1247,35,253,18465
1300,36,220,18444
1355,34,195,18416
1415,25,178,18382
1464,28,156,18352
1512,24,145,18319
1550,28,133,18289
1604,26,123,18247
1669,21,112,18198
1727,19,109,18145
1772,19,93,18116
1842,19,85,18054
1887,18,84,18011
1941,21,76,17962
1998,18,74,17910
2056,23,61,17860
2105,24,54,17817
2153,26,51,17770
2191,20,56,17733
2242,17,49,17692
2315,22,44,17619
2353,19,47,17581
2392,21,44,17543
2438,16,45,17501
2496,15,45,17444
2546,11,44,17399
2606,10,45,17339
2643,16,39,17302
2688,13,39,17260
2724,15,33,17228
2789,12,32,17167
2858,11,28,17103
2907,11,24,17058
2947,15,23,17015
2992,14,25,16969
3039,15,25,16921
3082,12,27,16879
3127,13,24,16836
3178,11,25,16786
3224,9,25,16742
3276,8,26,16690
3323,14,25,16638
3376,9,24,16591
3411,9,22,16558
3458,7,22,16513
3510,4,20,16466
3555,6,21,16418
3605,5,21,16369
3647,5,21,16327
3697,6,18,16279
3735,7,16,16242
3781,9,15,16195
3819,10,16,16155
3854,10,14,16122
3893,9,16,16082
3944,6,18,16032
3981,4,18,15997
4015,7,16,15962
4061,8,16,15915
4102,10,14,15874
4151,9,10,15830
4199,9,10,15782
4243,10,11,15736
4278,10,10,15702
4314,8,10,15668
4351,8,12,15629
4392,8,11,15589
4434,8,11,15547
4480,7,14,15499
4518,6,14,15462
4563,5,15,15417
4599,5,14,15382
4634,6,12,15348
4677,9,11,15303
4712,9,12,15267
4761,9,9,15221
4791,13,8,15188
4840,9,15,15136
4892,6,17,15085
4920,10,17,15053
4955,12,18,15015
5000,13,15,14972
5040,8,22,14930
5063,10,19,14908
5119,13,16,14852
5159,9,19,14813
5211,9,20,14760
5259,6,22,14713
5294,13,19,14674
5332,13,21,14634
5375,12,21,14592
5424,11,22,14543
5482,9,25,14484
5526,12,23,14439
5562,15,19,14404
5595,11,21,14373
5636,12,17,14335
5675,12,19,14294
5704,13,21,14262
5733,19,17,14231
5768,15,22,14195
5796,12,23,14169
5844,11,24,14121
5880,11,24,14085
5913,13,22,14052
5950,14,20,14016
5995,16,17,13972
6031,16,17,13936
6071,13,16,13900
6103,14,17,13866
6130,14,20,13836
6161,17,19,13803
6194,17,22,13767
6223,12,29,13736
6256,12,27,13705
6291,12,27,13670
6318,16,26,13640
6356,21,23,13600
6386,25,24,13565
6411,25,31,13533
6440,25,34,13501
6464,29,32,13475
6495,28,37,13440
6521,30,44,13405
6552,38,43,13367
6571,34,49,13346
6598,36,53,13313
6614,43,53,13290
6636,40,61,13263
6645,54,65,13236
6666,59,68,13207
6680,54,76,13190
6699,62,83,13156
6716,59,93,13132
6734,61,99,13106
6739,71,107,13083
6758,83,107,13052
6768,94,120,13018
6785,102,120,12993
6794,114,126,12966
6806,120,147,12927
6798,135,157,12910
6796,139,172,12893
6793,139,192,12876
6770,148,206,12876
6738,178,216,12868
6725,182,241,12852
6686,212,255,12847
6660,220,283,12837
6627,236,307,12830
6573,254,319,12854
6533,261,340,12866
6490,271,360,12879
6423,313,375,12889
6394,305,399,12902
6350,303,433,12914
6284,338,443,12935
6223,346,474,12957
6165,352,514,12969
6084,358,558,13000
5991,404,568,13037
5901,419,604,13076
5828,407,647,13118
5727,433,691,13149
5586,488,692,13234
5485,487,746,13282
5359,519,770,13352
5229,557,811,13403
5113,571,836,13480
5007,565,898,13530
4873,567,970,13590
4744,579,1001,13676
4574,624,1034,13768
4472,611,1056,13861
4336,627,1074,13963
4215,603,1114,14068
4061,619,1141,14179
3933,628,1171,14268
3791,616,1198,14395
3669,608,1199,14524
3577,602,1185,14636
3451,586,1206,14757
3374,540,1216,14870
3247,568,1178,15007
3171,539,1178,15112
3111,511,1165,15213
3034,471,1177,15318
2960,475,1138,15427
2896,468,1120,15516
2823,476,1100,15601
2774,450,1091,15685
2737,432,1077,15754
2689,437,1035,15839
2640,424,1031,15905
2596,408,1019,15977
2572,392,986,16050
2567,337,974,16122
2535,339,949,16177
2514,331,929,16226
2509,319,891,16281
2478,313,879,16330
2462,314,836,16388
2458,289,813,16440
2466,283,788,16463
2479,279,766,16476
2475,266,756,16503
2501,258,717,16524
2523,245,695,16537
2534,247,650,16569
2548,243,623,16586
2579,226,596,16599
2621,207,576,16596
2670,203,552,16575
2679,220,533,16568
2704,212,514,16570
2734,188,500,16578
2740,203,490,16567
2766,198,465,16571
2797,187,445,16571
2813,204,424,16559
2854,194,427,16525
2887,196,413,16504
2927,177,422,16474
2981,161,412,16446
3026,161,395,16418
3050,159,384,16407
3076,159,383,16382
3125,158,366,16351
3169,163,362,16306
3202,163,366,16269
3250,156,358,16236
3306,158,361,16175
3352,156,348,16144
3394,145,351,16110
3444,134,350,16072
3488,143,338,16031
3528,149,336,15987
3566,154,317,15963
3606,159,321,15914
3630,169,321,15880
3663,187,313,15837
3695,188,313,15804
3713,188,316,15783
3750,193,322,15735
3795,172,336,15697
3817,183,335,15665
3854,181,344,15621
3892,180,347,15581
3923,180,350,15547
3940,192,353,15515
3963,178,367,15492
3990,190,353,15467
4024,165,363,15448
4037,179,355,15429
4082,185,350,15383
