SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19966,14,20,0
19952,23,21,4
19936,34,23,7
19909,54,26,11
19884,59,44,13
19851,71,59,19
19813,87,73,27
19763,119,84,34
19683,169,103,45
19585,232,125,58
19461,289,183,67
19290,390,235,85
19090,474,318,118
18816,617,404,163
18474,784,530,212
18047,978,695,280
17515,1257,859,369
16896,1530,1090,484
16076,1955,1340,629
15131,2309,1748,812
13998,2817,2164,1021
12785,3211,2718,1286
11417,3634,3325,1624
9908,4146,3863,2083
8426,4487,4489,2598
6976,4665,5177,3182
5567,4714,5849,3870
4323,4598,6437,4642
3359,4292,6878,5471
2525,3912,7202,6361
1924,3438,7332,7306
1445,2959,7327,8269
1108,2465,7235,9192
861,2054,6927,10158
689,1663,6606,11042
564,1352,6159,11925
495,1074,5707,12724
440,839,5273,13448
410,665,4806,14119
388,547,4326,14739
389,435,3909,15267
378,380,3484,15758
386,318,3147,16149
405,271,2806,16518
421,246,2476,16857
443,212,2223,17122
462,179,1966,17393
498,159,1755,17588
526,145,1540,17789
558,130,1351,17961
590,124,1190,18096
631,113,1060,18196
669,100,957,18274
734,94,853,18319
789,79,764,18368
822,72,700,18406
868,73,620,18439
923,62,561,18454
967,60,490,18483
1024,56,421,18499
1068,57,380,18495
1110,60,333,18497
1169,51,303,18477
1219,46,280,18455
1265,47,254,18434
1332,45,222,18401
1380,41,198,18381
1434,38,180,18348
1489,33,165,18313
1538,33,138,18291
1602,30,128,18240
1665,27,122,18186
1737,21,114,18128
1801,29,99,18071
1851,29,86,18034
1902,29,84,17985
1957,27,73,17943
2015,22,65,17898
2065,15,68,17852
2108,14,61,17817
2162,17,49,17772
2217,13,52,17718
2269,10,46,17675
2349,9,41,17601
2401,7,36,17556
2465,8,27,17500
2526,7,25,17442
2580,5,27,17388
2624,7,23,17346
2675,9,19,17297
2732,11,18,17239
2783,13,16,17188
2823,13,14,17150
2865,13,14,17108
2924,10,17,17049
2985,10,15,16990
3042,8,19,16931
3095,6,22,16877
3140,8,22,16830
3192,7,24,16777
3242,9,24,16725
3287,8,25,16680
3334,10,21,16635
3395,9,22,16574
3448,6,24,16522
3503,9,18,16470
3551,10,17,16422
3592,11,16,16381
3645,7,16,16332
3685,6,17,16292
3723,8,14,16255
3778,7,12,16203
3836,5,15,16144
3887,5,14,16094
3925,7,13,16055
3970,7,12,16011
4012,4,12,15972
4058,6,10,15926
4097,7,10,15886
4154,8,11,15827
4205,6,11,15778
4248,6,12,15734
4293,5,11,15691
4334,5,11,15650
4370,7,13,15610
4408,5,15,15572
4449,6,16,15529
4492,4,17,15487
4526,5,16,15453
4577,5,13,15405
4621,8,11,15360
4669,7,13,15311
4704,8,15,15273
4736,6,13,15245
4768,7,13,15212
4811,10,9,15170
4856,7,11,15126
4901,7,11,15081
4942,8,12,15038
4984,8,11,14997
5028,6,11,14955
5067,7,11,14915
5104,7,15,14874
5133,11,14,14842
5174,11,13,14802
5205,11,16,14768
5240,11,15,14734
5279,10,17,14694
5312,13,15,14660
5359,12,16,14613
5413,7,19,14561
5460,7,18,14515
5494,11,16,14479
5533,10,15,14442
5575,10,18,14397
5615,9,13,14363
5650,12,15,14323
5681,13,17,14289
5715,11,14,14260
5755,13,13,14219
5796,15,15,14174
5827,19,17,14137
5859,20,20,14101
5900,22,21,14057
5941,21,25,14013
5985,21,29,13965
6018,19,33,13930
6050,23,33,13894
6077,27,33,13863
6119,24,40,13817
6157,23,42,13778
6175,26,46,13753
6203,28,50,13719
6234,32,50,13684
6266,31,51,13652
6297,34,55,13614
6306,42,54,13598
6331,46,64,13559
6356,46,71,13527
6381,52,76,13491
6402,60,78,13460
6419,63,85,13433
6431,73,87,13409
6445,78,105,13372
6448,79,117,13356
6454,84,137,13325
6465,94,134,13307
6477,97,145,13281
6470,115,157,13258
6464,131,159,13246
6453,138,180,13229
6465,128,189,13218
6440,152,193,13215
6431,165,200,13204
6401,172,229,13198
6366,184,257,13193
6334,186,282,13198
6289,207,303,13201
6271,227,313,13189
6220,252,326,13202
6174,267,356,13203
6105,296,402,13197
6060,291,446,13203
5992,299,468,13241
5944,314,489,13253
5860,348,513,13279
5783,356,567,13294
5688,371,618,13323
5590,412,632,13366
5483,463,660,13394
5395,471,694,13440
5286,481,726,13507
5165,485,781,13569
5045,499,810,13646
4921,526,831,13722
4793,542,878,13787
4679,551,919,13851
4569,541,977,13913
4430,579,980,14011
4320,580,1018,14082
4206,595,1040,14159
4080,608,1082,14230
3939,617,1093,14351
3825,618,1110,14447
3711,578,1160,14551
3615,572,1177,14636
3514,562,1185,14739
3417,546,1176,14861
3323,522,1170,14985
3239,522,1162,15077
3166,525,1150,15159
3092,512,1146,15250
3035,484,1144,15337
2952,472,1132,15444
2883,451,1119,15547
2835,442,1084,15639
2809,429,1042,15720
2759,425,997,15819
2728,403,988,15881
2695,390,984,15931
2653,386,944,16017
2645,360,919,16076
2610,356,891,16143
2576,376,862,16186
2574,361,834,16231
2569,345,822,16264
2579,301,814,16306
2552,313,790,16345
2551,286,770,16393
2535,282,746,16437
2554,260,727,16459
2559,260,710,16471
2547,258,683,16512
2552,253,659,16536
2576,247,631,16546
2587,248,617,16548
2621,226,604,16549
2650,225,580,16545
2680,203,573,16544
2713,195,559,16533
2731,211,514,16544
2761,206,492,16541
2808,193,503,16496
2830,190,472,16508
2871,192,460,16477
2915,187,448,16450
2964,178,436,16422
2996,184,420,16400
3042,171,411,16376
3076,172,406,16346
3102,183,379,16336
3135,173,374,16318
3168,176,380,16276
3222,174,370,16234
3258,166,372,16204
3289,170,371,16170
3322,172,368,16138
3353,166,362,16119
3400,159,348,16093
3450,158,349,16043
3491,158,354,15997
3511,158,358,15973
3554,147,351,15948
3574,185,340,15901
3615,178,349,15858
3651,184,358,15807
3706,167,367,15760
3739,169,370,15722
3774,167,371,15688
3814,169,368,15649
3848,186,360,15606
3853,194,364,15589
3897,184,375,15544
3920,202,379,15499
3973,185,389,15453
3985,191,384,15440
4012,208,376,15404
4057,201,381,15361
4094,193,403,15310
4115,193,399,15293
4141,204,411,15244
4151,219,411,15219
4166,217,412,15205
4186,216,425,15173
4199,213,419,15169
4218,244,404,15134
4243,242,401,15114
4267,230,422,15081
4275,239,438,15048
4285,245,432,15038
4306,236,446,15012
4317,258,443,14982
4323,269,445,14963
4348,272,466,14914
4371,265,487,14877
4374,279,505,14842
4367,260,525,14848
4349,275,553,14823
4342,291,540,14827
4350,292,550,14808
4352,296,557,14795
4353,283,570,14794
4331,317,569,14783
4328,319,573,14780
4331,329,587,14753
4315,337,603,14745
4301,347,617,14735
4281,349,635,14735
4267,355,637,14741
4236,369,651,14744
4228,365,684,14723
4213,368,697,14722
4189,373,706,14732
4159,374,726,14741
4149,377,735,14739
4136,370,750,14744
4098,399,767,14736
4071,398,769,14762
4030,403,804,14763
3959,443,803,14795
3935,438,838,14789
3889,436,838,14837
3876,437,836,14851
3829,430,832,14909
3788,429,857,14926
3761,428,870,14941
3723,425,892,14960
3710,425,885,14980
3691,409,888,15012
3655,406,889,15050
3611,418,899,15072
3601,427,900,15072
3590,423,892,15095
3582,429,867,15122
3564,447,856,15133
3530,439,860,15171
3507,408,875,15210
3466,429,871,15234
3439,412,885,15264
3439,381,887,15293
3422,383,872,15323
3404,393,863,15340
3384,410,846,15360
3364,421,820,15395
3384,396,851,15369
3366,418,825,15391
3366,420,816,15398
3359,422,812,15407
3332,430,822,15416
3327,405,841,15427
3310,387,856,15447
3301,377,843,15479
3320,358,840,15482
3331,356,828,15485
3325,367,791,15517
3306,377,792,15525
3319,372,782,15527
3337,344,781,15538
3345,342,772,15541
3362,348,750,15540
3363,344,739,15554
3377,342,722,15559
3357,341,726,15576
3390,341,735,15534
3408,341,729,15522
3399,362,739,15500
3420,376,735,15469
3431,370,750,15449
3433,351,767,15449
3427,319,775,15479
3416,336,755,15493
3415,343,743,15499
3423,340,735,15502
3422,344,712,15522
3425,361,702,15512
3418,360,716,15506
3434,346,704,15516
3457,331,707,15505
3483,310,708,15499
3507,303,702,15488
3488,328,700,15484
3504,345,688,15463
3499,329,702,15470
3484,341,701,15474
3493,351,687,15469
3503,346,683,15468
3528,338,682,15452
3537,325,709,15429
3544,328,711,15417
3553,332,708,15407
3558,340,689,15413
3574,335,688,15403
3592,323,707,15378
3594,336,720,15350
3575,343,721,15361
3566,354,733,15347
3576,339,752,15333
3578,348,736,15338
3572,358,734,15336
3563,356,739,15342
3564,349,731,15356
3565,337,746,15352
3572,326,736,15366
3605,323,690,15382
3629,315,699,15357
3627,321,701,15351
3614,343,691,15352
3593,357,681,15369
3599,341,695,15365
3608,338,696,15358
3574,364,705,15357
3563,350,728,15359
3553,372,706,15369
3524,374,712,15390
3538,347,743,15372
3548,363,738,15351
3529,370,724,15377
3517,371,715,15397
3524,347,715,15414
3539,336,713,15412
3559,305,722,15414
3531,322,700,15447
3546,315,678,15461
3528,317,676,15479
3526,321,669,15484
3522,318,678,15482
3517,319,680,15484
3522,332,652,15494
3521,332,664,15483
3534,318,682,15466
3542,329,679,15450
3560,323,673,15444
3573,314,674,15439
3573,331,663,15433
3571,311,672,15446
3597,293,684,15426
3570,309,681,15440
3598,306,676,15420
3610,313,652,15425
3618,298,662,15422
3619,313,644,15424
3611,307,639,15443
