SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19968,12,20,0
19946,27,24,3
19932,32,29,7
19914,40,34,12
19890,57,33,20
19866,67,42,25
19828,88,54,30
19775,105,83,37
19693,150,108,49
19583,222,129,66
19474,274,166,86
19343,316,234,107
19131,450,286,133
18891,567,366,176
18594,708,472,226
18178,924,606,292
17692,1166,750,392
17087,1423,1001,489
16354,1761,1251,634
15454,2172,1582,792
14419,2615,1974,992
13233,3068,2437,1262
11945,3482,3021,1552
10476,3923,3659,1942
8958,4376,4247,2419
7519,4613,4921,2947
6135,4736,5573,3556
4878,4664,6161,4297
3766,4457,6699,5078
2908,4067,7052,5973
2182,3672,7226,6920
1682,3166,7296,7856
1277,2700,7243,8780
998,2245,7050,9707
795,1826,6711,10668
628,1494,6364,11514
512,1204,5959,12325
441,996,5489,13074
394,801,5068,13737
391,648,4582,14379
375,523,4170,14932
380,429,3771,15420
353,376,3377,15894
361,313,3067,16259
380,268,2733,16619
389,212,2496,16903
416,179,2230,17175
457,154,1998,17391
490,130,1758,17622
534,120,1566,17780
560,115,1379,17946
605,114,1209,18072
643,97,1095,18165
684,95,958,18263
751,90,858,18301
777,97,768,18358
822,80,700,18398
858,86,624,18432
911,79,575,18435
962,74,505,18459
1010,66,458,18466
1061,63,410,18466
1108,61,369,18462
1142,67,334,18457
1196,59,297,18448
1257,53,270,18420
1320,53,247,18380
1377,46,224,18353
1438,43,194,18325
1495,38,179,18288
1555,37,156,18252
1599,40,140,18221
1653,39,132,18176
1722,27,124,18127
1762,31,103,18104
1798,29,100,18073
1845,25,94,18036
1914,19,91,17976
1960,17,87,17936
2005,21,73,17901
2054,22,65,17859
2119,22,64,17795
2176,16,61,17747
2222,19,62,17697
2271,15,60,17654
2312,18,54,17616
2385,15,54,17546
2440,16,50,17494
2487,14,51,17448
2550,13,47,17390
2612,13,43,17332
2655,15,41,17289
2704,14,36,17246
2760,17,29,17194
2823,20,28,17129
2882,19,25,17074
2947,12,28,17013
3000,13,30,16957
3052,11,33,16904
3108,15,32,16845
3155,17,30,16798
3195,9,31,16765
3251,11,28,16710
3293,10,27,16670
3335,7,24,16634
3375,6,22,16597
3416,9,22,16553
3470,10,20,16500
3517,7,23,16453
3566,8,22,16404
3619,8,20,16353
3655,9,16,16320
3699,9,13,16279
3740,8,14,16238
3799,9,12,16180
3850,7,13,16130
3890,6,16,16088
3948,6,15,16031
3985,10,15,15990
4016,10,17,15957
4062,9,15,15914
4110,9,14,15867
4178,10,12,15800
4216,7,15,15762
4279,4,14,15703
4318,5,12,15665
4368,6,12,15614
4413,6,13,15568
4458,4,16,15522
4508,6,15,15471
4538,8,13,15441
4568,8,11,15413
4615,8,10,15367
4655,8,11,15326
4700,8,13,15279
4738,9,15,15238
4770,11,17,15202
4811,12,13,15164
4847,7,17,15129
4884,10,17,15089
4938,11,15,15036
4961,15,14,15010
5004,13,17,14966
5035,14,20,14931
5078,10,20,14892
5110,14,21,14855
5149,15,20,14816
5187,14,19,14780
5222,12,22,14744
5253,15,21,14711
5299,13,25,14663
5355,18,25,14602
5387,17,29,14567
5407,18,27,14548
5440,22,27,14511
5477,23,27,14473
5514,19,28,14439
5533,14,34,14419
5569,20,30,14381
5607,24,29,14340
5630,27,29,14314
5662,23,31,14284
5698,20,33,14249
5738,19,29,14214
5768,25,30,14177
5791,29,26,14154
5820,28,32,14120
5860,22,40,14078
5891,19,47,14043
5921,27,42,14010
5947,31,42,13980
5987,30,48,13935
6018,37,46,13899
6043,35,56,13866
6074,43,55,13828
6101,46,61,13792
6117,51,63,13769
6138,58,62,13742
6164,52,69,13715
6200,53,78,13669
6227,53,82,13638
6242,58,89,13611
6268,68,84,13580
6285,73,88,13554
6316,72,97,13515
6330,68,110,13492
6344,79,111,13466
6346,80,129,13445
6339,95,131,13435
6342,110,133,13415
6343,112,152,13393
6353,119,157,13371
6349,114,178,13359
6335,144,189,13332
6327,147,197,13329
6302,171,212,13315
6286,169,250,13295
6280,166,253,13301
6278,176,272,13274
6242,205,280,13273
6222,205,307,13266
6200,218,328,13254
6164,244,348,13244
6145,248,373,13234
6101,255,402,13242
6062,262,431,13245
6008,280,455,13257
5916,316,478,13290
5831,346,504,13319
5770,358,529,13343
5688,355,564,13393
5598,393,583,13426
5515,407,606,13472
5441,433,628,13498
5366,456,655,13523
5256,475,704,13565
5136,478,769,13617
5036,504,790,13670
4916,507,841,13736
4801,520,889,13790
4698,534,916,13852
4576,542,934,13948
4442,561,977,14020
4336,549,1018,14097
4219,553,1059,14169
4107,557,1066,14270
4002,559,1071,14368
3901,545,1069,14485
3802,542,1067,14589
3672,578,1092,14658
3589,541,1112,14758
3484,556,1093,14867
3410,552,1070,14968
3338,543,1059,15060
3270,531,1066,15133
3193,531,1055,15221
3135,490,1085,15290
3065,486,1086,15363
3008,468,1065,15459
2932,481,1042,15545
2876,469,1029,15626
2821,478,1016,15685
2768,448,1008,15776
2739,431,1002,15828
2705,409,977,15909
2684,391,953,15972
2647,396,919,16038
2625,381,881,16113
2634,338,887,16141
2624,312,856,16208
2624,288,826,16262
2619,289,816,16276
2612,298,780,16310
2616,287,750,16347
2639,271,735,16355
2633,255,734,16378
2659,245,702,16394
2666,255,664,16415
2687,238,644,16431
2688,231,631,16450
2706,216,626,16452
2739,205,598,16458
2761,220,581,16438
2787,222,548,16443
2812,211,547,16430
2828,211,536,16425
2864,198,521,16417
2881,201,507,16411
2888,218,496,16398
2905,201,489,16405
2952,200,478,16370
2983,193,489,16335
3021,192,462,16325
3059,181,451,16309
3095,179,452,16274
3121,190,425,16264
3161,183,423,16233
3184,179,413,16224
3221,193,396,16190
3265,191,392,16152
3310,194,394,16102
3349,192,393,16066
3374,201,378,16047
3417,200,375,16008
3451,207,383,15959
3472,202,387,15939
3496,196,390,15918
3527,178,406,15889
3544,195,393,15868
3554,214,383,15849
3575,204,390,15831
3613,212,384,15791
3658,206,378,15758
3676,202,393,15729
3718,196,379,15707
3721,210,373,15696
3782,195,368,15655
3797,200,369,15634
3829,187,395,15589
3875,191,382,15552
3922,188,393,15497
3949,191,400,15460
3970,210,408,15412
4007,208,416,15369
4021,215,407,15357
4061,204,407,15328
4062,225,400,15313
4091,227,419,15263
4095,236,415,15254
4124,211,431,15234
4156,211,432,15201
4167,205,433,15195
4169,206,445,15180
4199,210,430,15161
4212,222,438,15128
4232,217,450,15101
4253,230,457,15060
4279,201,479,15041
4306,211,471,15012
4337,230,454,14979
4346,245,466,14943
4360,260,448,14932
4385,269,458,14888
4398,272,479,14851
4391,286,488,14835
4390,279,496,14835
4402,270,507,14821
4414,285,504,14797
4397,291,526,14786
4405,287,561,14747
4398,303,560,14739
4407,299,586,14708
4379,345,580,14696
4368,353,603,14676
4345,356,615,14684
4321,364,623,14692
4310,357,641,14692
4274,368,672,14686
4266,359,691,14684
4251,360,712,14677
4237,366,706,14691
4199,386,733,14682
4156,406,735,14703
4112,407,771,14710
4083,428,763,14726
4061,428,792,14719
4004,439,814,14743
3978,428,844,14750
3929,456,853,14762
3906,438,870,14786
3880,446,890,14784
3833,441,898,14828
3784,438,910,14868
3711,467,913,14909
3671,443,924,14962
3640,444,931,14985
3611,448,924,15017
3568,443,948,15041
3527,435,951,15087
3506,438,965,15091
3451,459,967,15123
3408,473,975,15144
3397,445,986,15172
3356,468,966,15210
3350,467,972,15211
3334,461,972,15233
3317,442,963,15278
3316,453,944,15287
3283,453,948,15316
3264,444,935,15357
3250,423,928,15399
3218,423,934,15425
3189,440,924,15447
3175,431,907,15487
3146,424,905,15525
3155,421,898,15526
3171,419,889,15521
3145,396,897,15562
3154,381,886,15579
3176,386,849,15589
3190,361,858,15591
3182,365,841,15612
3172,372,829,15627
