SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19967,13,20,0
19950,28,21,1
19928,39,29,4
19911,48,29,12
19888,56,39,17
19855,71,49,25
19802,107,61,30
19749,133,75,43
19672,179,98,51
19588,210,138,64
19453,279,191,77
19293,355,246,106
19035,512,322,131
18751,639,442,168
18378,831,556,235
17915,1077,700,308
17348,1313,937,402
16639,1634,1200,527
15772,2028,1515,685
14777,2464,1873,886
13632,2890,2336,1142
12318,3353,2858,1471
10900,3815,3416,1869
9457,4180,4009,2354
8046,4418,4645,2891
6615,4618,5301,3466
5283,4687,5864,4166
4202,4433,6456,4909
3244,4133,6878,5745
2445,3738,7238,6579
1837,3359,7299,7505
1365,2926,7269,8440
1059,2423,7134,9384
844,1998,6864,10294
661,1626,6456,11257
554,1294,6055,12097
487,1039,5622,12852
455,809,5130,13606
431,650,4663,14256
405,528,4196,14871
398,438,3796,15368
408,360,3388,15844
404,304,3007,16285
419,254,2699,16628
435,212,2430,16923
458,175,2178,17189
482,154,1951,17413
524,139,1720,17617
553,127,1487,17833
595,119,1304,17982
636,98,1193,18073
687,96,1051,18166
704,99,955,18242
749,95,825,18331
781,94,744,18381
823,86,661,18430
888,72,593,18447
942,66,528,18464
978,67,472,18483
1047,59,442,18452
1082,57,402,18459
1113,58,363,18466
1172,51,336,18441
1225,46,300,18429
1273,44,289,18394
1316,41,253,18390
1370,43,221,18366
1413,50,198,18339
1452,51,185,18312
1503,50,169,18278
1559,42,154,18245
1614,39,150,18197
1667,37,136,18160
1729,30,128,18113
1786,26,114,18074
1840,23,114,18023
1903,18,107,17972
1964,21,93,17922
2026,24,81,17869
2082,20,69,17829
2128,21,60,17791
2188,18,57,17737
2231,19,52,17698
2290,20,47,17643
2341,20,40,17599
2406,21,38,17535
2452,20,39,17489
2502,27,39,17432
2554,21,49,17376
2603,25,43,17329
2665,19,50,17266
2722,17,44,17217
2782,15,42,17161
2830,13,42,17115
2886,17,36,17061
2930,18,34,17018
2975,11,34,16980
3028,9,34,16929
3086,7,34,16873
3132,10,33,16825
3175,11,33,16781
3208,11,29,16752
3244,10,27,16719
3299,10,25,16666
3350,5,28,16617
3387,6,22,16585
3439,5,20,16536
3485,8,19,16488
3536,8,17,16439
3578,9,14,16399
3627,13,11,16349
3678,8,13,16301
3724,9,12,16255
3781,6,15,16198
3842,4,18,16136
3882,7,18,16093
3919,8,16,16057
3955,7,13,16025
3998,8,13,15981
4048,7,12,15933
4083,7,12,15898
4132,6,12,15850
4170,9,13,15808
4211,10,13,15766
4246,10,15,15729
4285,9,14,15692
4321,10,14,15655
4361,8,15,15616
4402,7,14,15577
4445,6,16,15533
4491,7,16,15486
4543,8,14,15435
4592,6,14,15388
4635,8,17,15340
4683,10,15,15292
4716,9,20,15255
4752,9,21,15218
4791,15,20,15174
4830,19,19,15132
4878,20,18,15084
4911,15,23,15051
4954,17,26,15003
5000,17,24,14959
5045,18,23,14914
5090,15,28,14867
5134,15,27,14824
5158,20,29,14793
5182,24,25,14769
5210,21,26,14743
5244,20,28,14708
5284,17,29,14670
5314,21,27,14638
5353,16,29,14602
5384,23,28,14565
5416,23,32,14529
5447,26,34,14493
5492,25,36,14447
5514,27,37,14422
5551,24,38,14387
5582,20,46,14352
5616,23,45,14316
5649,24,41,14286
5680,26,45,14249
5702,26,50,14222
5733,30,51,14186
5762,35,58,14145
5794,35,54,14117
5824,37,56,14083
5855,37,61,14047
5892,34,67,14007
5921,35,69,13975
5950,42,69,13939
5969,48,68,13915
5981,58,66,13895
6011,60,69,13860
6029,57,75,13839
6056,64,76,13804
6092,59,81,13768
6102,61,86,13751
6120,62,90,13728
6141,74,97,13688
6158,81,98,13663
6184,76,106,13634
6184,76,122,13618
6199,73,133,13595
6197,100,133,13570
6205,121,128,13546
6199,118,146,13537
6204,126,159,13511
6222,125,176,13477
6216,137,192,13455
6203,135,217,13445
6197,142,228,13433
6182,160,237,13421
6182,157,242,13419
6166,158,272,13404
6141,196,275,13388
6113,214,299,13374
6098,216,324,13362
6046,250,336,13368
5977,287,372,13364
5911,304,411,13374
5859,303,451,13387
5773,337,477,13413
5694,362,502,13442
5604,379,547,13470
5534,376,587,13503
5440,413,602,13545
5341,439,622,13598
5240,430,670,13660
5147,450,698,13705
5024,492,727,13757
4909,502,766,13823
4826,506,800,13868
4704,530,844,13922
4598,524,875,14003
4518,500,884,14098
4401,518,896,14185
4301,527,908,14264
4218,509,944,14329
4119,514,987,14380
4025,494,1008,14473
3931,515,1011,14543
3822,548,1025,14605
3735,540,1040,14685
3650,528,1069,14753
3569,531,1089,14811
3517,502,1063,14918
3426,503,1067,15004
3366,464,1080,15090
3275,468,1082,15175
3192,486,1039,15283
3125,481,1038,15356
3063,449,1038,15450
3023,438,999,15540
2990,421,980,15609
2951,390,971,15688
2905,373,942,15780
2897,346,931,15826
2869,343,882,15906
2820,360,868,15952
2788,348,849,16015
2757,341,829,16073
2748,334,819,16099
2731,325,811,16133
2732,300,813,16155
2729,295,783,16193
2715,314,761,16210
2713,301,743,16243
2719,309,681,16291
2728,286,674,16312
2733,277,660,16330
2748,265,648,16339
2748,240,641,16371
2750,238,615,16397
2757,245,574,16424
2771,221,579,16429
2783,232,556,16429
2808,231,544,16417
2828,217,544,16411
2856,211,546,16387
2886,193,547,16374
2879,207,527,16387
2908,217,494,16381
2937,204,500,16359
2975,196,494,16335
3005,176,498,16321
3041,174,472,16313
3085,171,451,16293
3132,179,420,16269
3156,181,418,16245
3191,185,416,16208
3248,167,417,16168
3299,175,400,16126
3332,156,409,16103
3350,156,388,16106
3392,160,384,16064
3415,175,374,16036
3447,188,386,15979
3472,185,398,15945
3497,200,401,15902
3536,192,411,15861
3543,209,413,15835
3562,194,411,15833
3597,183,413,15807
3620,195,405,15780
3637,198,402,15763
3670,200,379,15751
3691,192,384,15733
3705,198,374,15723
3743,200,369,15688
3766,188,383,15663
3784,183,383,15650
3820,181,399,15600
3846,189,384,15581
3867,198,395,15540
3892,201,385,15522
3929,205,376,15490
3949,208,389,15454
3992,197,390,15421
4012,187,399,15402
4030,199,387,15384
4029,213,385,15373
4052,206,402,15340
4078,222,404,15296
4119,216,420,15245
4136,216,440,15208
4173,219,441,15167
4178,229,461,15132
4177,251,475,15097
4206,258,493,15043
4221,266,498,15015
4223,277,494,15006
4232,272,507,14989
4256,282,508,14954
4245,293,520,14942
4240,285,538,14937
4243,292,539,14926
4237,309,538,14916
4224,289,569,14918
4207,305,559,14929
4192,320,554,14934
4177,325,578,14920
4168,325,593,14914
4149,341,600,14910
4129,360,588,14923
4124,345,607,14924
4131,327,631,14911
4108,362,610,14920
4095,388,616,14901
4087,372,627,14914
4066,367,641,14926
4078,349,655,14918
4065,349,682,14904
4044,373,683,14900
4042,382,698,14878
4012,418,683,14887
3999,396,711,14894
3975,381,753,14891
3937,391,757,14915
3909,394,771,14926
3878,408,768,14946
3847,405,789,14959
3813,417,789,14981
3794,420,791,14995
3763,423,790,15024
3733,407,804,15056
3694,403,822,15081
3665,408,813,15114
3626,435,800,15139
3590,422,825,15163
3586,410,831,15173
3526,430,829,15215
3504,421,844,15231
3494,421,832,15253
3488,395,847,15270
3488,386,827,15299
3452,374,844,15330
3423,396,843,15338
3412,366,850,15372
3406,364,850,15380
3386,367,841,15406
3351,379,840,15430
3372,354,840,15434
3376,341,861,15422
3391,322,847,15440
3371,368,817,15444
3367,365,811,15457
3336,380,801,15483
3342,368,785,15505
3379,350,797,15474
3378,350,797,15475
3396,343,778,15483
3406,347,773,15474
3419,338,774,15469
3423,334,783,15460
3392,366,772,15470
3370,372,750,15508
3381,370,740,15509
3364,354,754,15528
3361,359,756,15524
3384,331,746,15539
3387,330,736,15547
3400,325,738,15537
3407,322,732,15539
3424,301,727,15548
3450,287,713,15550
3459,299,683,15559
3479,304,653,15564
3486,318,638,15558
3522,290,631,15557
3531,286,626,15557
3543,319,594,15544
3566,298,614,15522
3595,288,624,15493
3636,282,619,15463
3670,283,605,15442
3676,266,637,15421
3685,281,608,15426
3709,290,618,15383
3724,282,621,15373
3730,289,612,15369
3769,267,622,15342
3773,277,623,15327
3771,289,622,15318
3763,312,626,15299
3782,304,626,15288
3787,305,626,15282
3778,310,618,15294
3799,306,603,15292
3787,315,598,15300
3800,298,610,15292
3799,309,607,15285
3803,306,607,15284
3793,315,604,15288
3797,313,606,15284
3797,303,622,15278
3787,312,608,15293
3826,300,612,15262
3799,334,603,15264
3814,326,608,15252
3830,306,618,15246
3839,320,627,15214
3826,337,613,15224
3827,325,628,15220
3843,329,627,15201
3832,330,639,15199
3836,328,642,15194
3833,328,654,15185
3846,328,647,15179
3833,326,660,15181
3812,339,647,15202
3831,345,652,15172
3812,352,667,15169
3809,347,688,15156
3829,339,684,15148
3832,335,692,15141
3816,343,705,15136
3791,352,717,15140
3794,347,711,15148
3787,345,712,15156
3789,345,714,15152
3745,382,691,15182
3757,375,692,15176
3759,369,726,15146
3769,360,730,15141
3749,368,733,15150
3728,365,746,15161
3719,358,748,15175
3687,368,737,15208
3687,349,742,15222
3633,382,733,15252
3616,372,738,15274
3610,363,744,15283
3611,371,740,15278
3606,360,746,15288
3592,372,740,15296
3592,358,760,15290
3599,353,756,15292
3594,364,738,15304
3589,367,750,15294
3567,364,758,15311
3543,350,775,15332
3520,353,779,15348
3527,349,767,15357
3499,358,759,15384
3511,353,756,15380
3516,347,741,15396
3496,352,746,15406
3476,377,748,15399
3466,358,751,15425
3462,346,771,15421
3471,357,726,15446
3481,350,720,15449
3488,324,727,15461
3494,325,709,15472
3519,320,697,15464
3537,305,693,15465
3548,315,679,15458
3568,297,686,15449
3579,304,678,15439
3554,327,676,15443
3525,335,701,15439
3546,327,710,15417
3552,339,685,15424
3548,342,680,15430
3548,339,690,15423
3559,335,676,15430
3572,323,689,15416
3556,338,682,15424
3557,315,705,15423
3545,338,706,15411
3546,338,708,15408
3538,329,698,15435
3526,324,716,15434
3504,335,727,15434
3493,357,691,15459
3477,367,687,15469
3456,361,716,15467
3459,356,732,15453
3467,349,723,15461
3451,323,741,15485
3446,332,707,15515
3431,358,688,15523
3424,356,701,15519
3393,347,701,15559
3407,342,691,15560
3409,330,695,15566
3437,296,683,15584
3437,303,666,15594
3448,306,667,15579
3478,290,676,15556
3480,285,679,15556
3485,277,664,15574
3504,267,657,15572
3540,267,639,15554
3556,278,617,15549
3546,284,611,15559
3555,281,605,15559
3583,273,616,15528
3617,266,614,15503
3635,274,589,15502
3648,279,594,15479
3660,278,594,15468
3674,269,586,15471
3700,244,599,15457
3713,259,579,15449
3722,262,576,15440
3730,258,599,15413
3724,276,612,15388
3716,281,599,15404
3726,311,568,15395
3732,309,554,15405
3736,287,584,15393
3748,299,577,15376
3744,290,604,15362
3763,303,583,15351
3779,283,595,15343
3792,285,592,15331
3788,292,599,15321
3784,298,613,15305
3757,314,620,15309
3751,314,620,15315
3753,312,625,15310
3724,335,625,15316
3726,340,634,15300
3746,324,646,15284
3740,325,642,15293
3740,329,621,15310
3740,321,646,15293
3729,341,648,15282
3756,323,664,15257
3753,312,682,15253
3739,323,688,15250
3724,344,675,15257
3724,356,685,15235
3726,339,691,15244
3710,352,683,15255
3678,331,698,15293
3662,344,710,15284
3661,347,708,15284
3646,372,730,15252
3624,371,734,15271
3604,379,744,15273
3608,344,742,15306
3604,335,729,15332
3611,338,727,15324
3591,360,718,15331
3599,352,698,15351
