SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19967,13,20,0
19949,29,18,4
19929,43,21,7
19909,56,26,9
19879,69,40,12
19848,78,59,15
19796,109,70,25
19736,129,99,36
19662,159,128,51
19555,226,153,66
19435,277,198,90
19244,374,263,119
19012,504,336,148
18727,621,457,195
18387,793,564,256
17945,1008,719,328
17388,1284,906,422
16672,1660,1109,559
15852,2011,1439,698
14912,2386,1809,893
13781,2867,2236,1116
12485,3344,2757,1414
11063,3798,3359,1780
9575,4185,4019,2221
8048,4535,4686,2731
6595,4661,5398,3346
5314,4575,6044,4067
4170,4369,6577,4884
3151,4157,6918,5774
2400,3737,7198,6665
1801,3300,7253,7646
1357,2824,7222,8597
1033,2365,7087,9515
817,1971,6788,10424
677,1596,6401,11326
550,1286,6029,12135
473,1039,5587,12901
426,806,5127,13641
399,639,4701,14261
384,496,4247,14873
374,412,3786,15428
373,332,3374,15921
380,283,2988,16349
386,240,2673,16701
402,210,2364,17024
413,183,2102,17302
425,168,1855,17552
464,145,1664,17727
491,116,1494,17899
518,97,1308,18077
569,89,1147,18195
605,85,1005,18305
650,94,892,18364
696,80,808,18416
741,88,721,18450
799,83,643,18475
848,69,591,18492
906,66,524,18504
957,57,473,18513
1008,57,426,18509
1065,51,376,18508
1116,41,339,18504
1183,40,297,18480
1239,44,272,18445
1295,43,256,18406
1355,41,236,18368
1412,33,226,18329
1468,33,198,18301
1523,32,184,18261
1558,37,172,18233
1612,39,160,18189
1650,39,144,18167
1700,36,127,18137
1759,35,118,18088
1819,35,103,18043
1864,34,97,18005
1927,30,91,17952
1983,27,88,17902
2030,22,88,17860
2076,24,78,17822
2117,26,66,17791
2172,21,64,17743
2217,22,59,17702
2259,14,62,17665
2312,12,61,17615
2368,16,50,17566
2418,15,46,17521
2473,7,53,17467
2520,7,47,17426
2577,13,44,17366
2615,15,41,17329
2667,13,39,17281
2701,14,38,17247
2759,14,36,17191
2820,8,37,17135
2865,14,32,17089
2911,15,28,17046
2960,13,26,17001
3021,13,27,16939
3077,13,24,16886
3132,14,24,16830
3203,13,24,16760
3255,15,21,16709
3305,9,25,16661
3358,6,25,16611
3394,8,21,16577
3434,9,20,16537
3489,6,20,16485
3547,9,17,16427
3605,8,20,16367
3655,6,19,16320
3699,7,18,16276
3742,7,16,16235
3788,6,19,16187
3840,4,21,16135
3889,5,16,16090
3923,9,14,16054
3964,11,16,16009
4016,10,17,15957
4051,12,18,15919
4104,12,16,15868
4147,9,17,15827
4198,9,17,15776
4247,10,17,15726
4307,9,14,15670
4343,9,14,15634
4401,9,15,15575
4461,4,19,15516
4500,8,18,15474
4537,8,17,15438
4575,6,18,15401
4616,9,19,15356
4657,6,22,15315
4703,7,23,15267
4744,11,20,15225
4790,8,18,15184
4830,9,21,15140
4869,11,20,15100
4909,15,20,15056
4947,15,24,15014
4983,14,25,14978
5016,12,31,14941
5040,16,29,14915
5073,17,26,14884
5108,21,24,14847
5135,22,28,14815
5173,25,27,14775
5216,18,32,14734
5247,19,36,14698
5271,22,32,14675
5295,31,35,14639
5334,30,36,14600
5367,26,46,14561
5407,35,47,14511
5434,32,50,14484
5454,33,49,14464
5491,35,52,14422
5504,41,60,14395
5522,49,62,14367
5546,51,61,14342
5581,46,74,14299
5603,45,73,14279
5612,55,77,14256
5640,55,81,14224
5651,56,92,14201
5663,63,92,14182
5681,71,93,14155
5697,87,94,14122
5717,93,106,14084
5741,90,114,14055
5748,88,127,14037
5743,105,133,14019
5754,114,138,13994
5758,114,163,13965
5768,116,177,13939
5770,125,188,13917
5772,129,191,13908
5785,125,200,13890
5784,139,206,13871
5772,164,206,13858
5779,155,226,13840
5751,178,244,13827
5725,200,261,13814
5690,222,274,13814
5662,218,306,13814
5635,231,337,13797
5609,249,336,13806
5581,245,362,13812
5562,246,366,13826
5526,254,385,13835
5486,267,402,13845
5435,271,423,13871
5404,256,458,13882
5336,289,476,13899
5276,304,510,13910
5234,326,517,13923
5162,336,536,13966
5109,334,575,13982
5036,355,609,14000
4982,348,624,14046
4908,380,614,14098
4826,406,626,14142
4752,401,652,14195
4669,414,659,14258
4578,441,680,14301
4518,422,711,14349
4436,437,716,14411
4386,416,746,14452
4322,408,782,14488
4233,419,789,14559
4173,410,784,14633
4100,440,782,14678
4039,438,799,14724
3968,444,803,14785
3890,451,816,14843
3829,437,834,14900
3755,460,822,14963
3671,451,844,15034
3618,416,878,15088
3546,420,874,15160
3481,416,877,15226
3430,402,889,15279
3396,395,881,15328
3322,404,865,15409
3307,371,861,15461
3259,360,869,15512
3238,349,861,15552
3190,363,832,15615
3162,340,828,15670
3139,332,810,15719
3115,311,807,15767
3084,326,772,15818
3071,342,759,15828
3059,331,763,15847
3066,319,758,15857
3031,320,743,15906
3009,323,717,15951
3001,307,703,15989
2998,302,664,16036
3004,271,648,16077
3010,250,635,16105
2998,256,639,16107
3023,254,619,16104
3033,260,590,16117
3036,260,589,16115
3035,259,566,16140
3058,239,564,16139
3062,232,560,16146
3060,229,563,16148
3063,242,540,16155
3130,232,524,16114
3134,241,501,16124
3147,220,515,16118
3184,206,517,16093
3210,198,513,16079
3236,188,514,16062
3248,199,509,16044
3262,205,500,16033
3283,204,482,16031
3310,205,470,16015
3320,224,463,15993
3356,221,456,15967
3374,215,434,15977
3405,206,436,15953
3439,202,440,15919
3467,204,429,15900
3491,211,425,15873
3513,211,428,15848
3509,218,407,15866
3547,210,412,15831
3575,201,417,15807
3591,210,423,15776
3617,208,437,15738
3658,203,432,15707
3677,208,433,15682
3697,208,431,15664
3694,215,428,15663
3711,227,439,15623
3742,221,445,15592
3771,209,455,15565
3811,194,452,15543
3823,191,459,15527
3831,200,451,15518
3839,213,455,15493
3833,225,469,15473
3855,221,476,15448
3858,232,470,15440
3877,234,472,15417
3874,236,490,15400
3880,241,477,15402
3911,229,490,15370
3959,229,488,15324
3957,248,500,15295
3957,257,503,15283
3973,262,492,15273
3978,262,511,15249
3968,278,500,15254
3990,280,515,15215
3985,281,517,15217
3990,278,524,15208
3999,280,530,15191
4010,287,538,15165
3997,279,560,15164
3987,302,540,15171
4016,295,558,15131
4022,277,572,15129
4041,278,570,15111
4054,281,538,15127
4067,269,548,15116
4050,293,534,15123
4039,305,546,15110
4049,297,550,15104
4067,302,554,15077
4074,288,583,15055
4088,290,582,15040
4050,322,586,15042
4026,319,608,15047
4035,311,616,15038
4040,330,610,15020
4014,351,622,15013
4015,333,631,15021
3995,348,626,15031
3981,376,619,15024
3971,378,613,15038
3959,341,638,15062
3961,340,637,15062
3955,330,647,15068
3953,317,664,15066
3938,320,669,15073
3943,331,656,15070
3939,319,668,15074
3944,322,677,15057
3955,321,678,15046
3978,297,690,15035
3962,316,672,15050
3964,325,657,15054
3961,329,672,15038
3939,343,680,15038
3932,353,689,15026
3941,317,712,15030
3917,343,688,15052
3894,365,667,15074
3873,358,681,15088
3867,350,704,15079
3857,350,707,15086
3858,323,714,15105
3849,340,721,15090
3819,375,728,15078
3808,377,749,15066
3801,370,768,15061
3789,369,757,15085
3782,368,742,15108
3766,367,739,15128
3759,371,740,15130
3754,369,738,15139
3730,369,764,15137
3717,353,778,15152
3696,353,782,15169
3682,378,751,15189
3672,372,770,15186
3652,388,765,15195
3624,400,767,15209
3611,401,779,15209
3608,356,822,15214
3595,372,789,15244
3582,345,784,15289
3596,363,752,15289
3602,370,741,15287
3614,391,732,15263
3616,368,746,15270
3577,388,754,15281
3582,376,767,15275
3565,371,774,15290
3555,352,793,15300
3559,335,806,15300
3522,362,794,15322
3518,359,789,15334
3504,374,806,15316
3510,353,802,15335
3486,354,762,15398
3466,345,776,15413
3458,350,752,15440
3453,354,758,15435
3441,355,765,15439
3418,355,767,15460
3429,348,749,15474
3431,334,759,15476
3436,329,747,15488
3430,341,741,15488
3447,348,733,15472
3452,331,739,15478
3449,340,703,15508
3451,349,699,15501
3460,352,702,15486
3465,339,710,15486
3458,362,705,15475
3470,344,706,15480
3492,331,698,15479
3478,327,707,15488
3468,345,700,15487
3478,352,685,15485
3475,333,687,15505
3476,323,705,15496
3503,323,693,15481
3469,339,671,15521
3462,354,680,15504
3476,363,676,15485
3476,359,692,15473
3478,342,712,15468
3477,338,692,15493
3505,336,698,15461
3523,335,682,15460
3520,331,699,15450
3487,340,713,15460
3506,317,692,15485
3515,324,696,15465
3511,311,679,15499
3527,294,664,15515
3548,310,653,15489
3547,311,655,15487
3553,320,657,15470
3581,324,644,15451
3602,316,659,15423
3613,312,678,15397
3609,315,684,15392
3605,321,664,15410
3592,324,645,15439
3622,295,649,15434
3618,305,651,15426
3643,298,651,15408
3662,288,638,15412
3654,295,635,15416
3673,293,620,15414
3685,274,634,15407
3687,274,616,15423
3696,282,610,15412
3703,296,601,15400
3721,277,602,15400
3718,290,619,15373
3731,280,598,15391
3743,301,587,15369
3737,312,597,15354
3732,301,603,15364
3728,300,592,15380
3746,292,591,15371
3766,271,602,15361
3769,293,588,15350
3770,297,591,15342
3797,285,601,15317
3779,304,597,15320
3806,288,611,15295
3807,304,616,15273
3776,313,635,15276
3772,295,661,15272
3760,329,637,15274
3754,340,622,15284
3735,345,624,15296
3740,344,627,15289
3752,314,633,15301
3762,316,631,15291
3752,338,617,15293
3759,320,623,15298
3748,334,624,15294
3725,343,642,15290
3713,333,658,15296
3697,332,650,15321
3686,339,659,15316
3707,324,659,15310
3709,316,658,15317
3693,320,666,15321
3701,304,673,15322
3709,306,664,15321
3710,314,657,15319
3700,318,656,15326
3693,325,644,15338
3676,337,663,15324
3656,351,651,15342
3664,344,655,15337
3658,333,646,15363
3661,335,639,15365
3645,355,631,15369
3655,352,651,15342
3640,344,665,15351
3637,334,667,15362
3651,324,655,15370
3666,323,646,15365
3670,314,687,15329
3670,326,682,15322
3661,347,667,15325
3649,348,684,15319
