SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19960,20,20,0
19944,30,24,2
19933,32,31,4
19903,50,39,8
19868,71,47,14
19833,89,57,21
19771,120,83,26
19698,159,107,36
19597,216,137,50
19448,303,183,66
19281,378,252,89
19083,480,314,123
18786,636,414,164
18450,788,553,209
17985,1017,706,292
17458,1294,852,396
16800,1606,1098,496
16026,1991,1331,652
15089,2404,1672,835
14034,2774,2141,1051
12741,3269,2648,1342
11325,3723,3254,1698
9893,4122,3848,2137
8396,4465,4526,2613
6941,4672,5180,3207
5616,4674,5830,3880
4387,4585,6365,4663
3412,4325,6784,5479
2576,3956,7136,6332
1920,3479,7302,7299
1484,2931,7343,8242
1140,2507,7183,9170
889,2124,6859,10128
727,1720,6590,10963
589,1371,6213,11827
523,1086,5793,12598
469,891,5290,13350
427,714,4841,14018
402,566,4399,14633
400,445,3965,15190
394,359,3555,15692
403,299,3165,16133
401,266,2817,16516
430,246,2539,16785
456,214,2248,17082
471,188,1984,17357
490,161,1777,17572
521,134,1559,17786
569,113,1377,17941
591,119,1230,18060
629,109,1101,18161
679,104,971,18246
708,91,885,18316
739,94,774,18393
788,77,714,18421
841,84,648,18427
885,74,574,18467
926,71,514,18489
988,66,478,18468
1047,61,435,18457
1095,65,388,18452
1154,53,370,18423
1195,58,337,18410
1239,55,309,18397
1290,53,283,18374
1339,48,266,18347
1401,40,252,18307
1447,50,221,18282
1497,42,191,18270
1545,45,158,18252
1590,47,143,18220
1639,43,130,18188
1707,41,125,18127
1770,38,113,18079
1840,36,104,18020
1890,34,95,17981
1947,30,87,17936
1999,31,82,17888
2052,30,72,17846
2112,28,70,17790
2177,24,62,17737
2227,18,58,17697
2293,15,58,17634
2343,15,54,17588
2392,16,50,17542
2444,16,45,17495
2499,12,44,17445
2555,17,41,17387
2611,15,42,17332
2655,14,42,17289
2692,18,39,17251
2736,19,39,17206
2783,19,38,17160
2833,15,37,17115
2880,13,36,17071
2940,11,30,17019
2992,12,25,16971
3034,11,23,16932
3079,12,24,16885
3127,10,24,16839
3176,13,20,16791
3232,9,23,16736
3284,10,20,16686
3334,7,21,16638
3374,5,20,16601
3427,6,19,16548
3478,6,20,16496
3519,10,16,16455
3581,9,17,16393
3636,9,17,16338
3677,8,17,16298
3713,10,17,16260
3763,11,17,16209
3819,14,19,16148
3859,12,18,16111
3901,13,17,16069
3941,12,19,16028
3976,11,20,15993
4020,11,20,15949
4068,11,17,15904
4106,13,15,15866
4157,11,19,15813
4202,9,18,15771
4244,8,18,15730
4287,10,18,15685
