SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19959,21,20,0
19941,32,24,3
19923,40,31,6
19891,67,30,12
19864,72,43,21
19828,91,52,29
19768,133,66,33
19701,155,105,39
19619,201,127,53
19487,267,175,71
19340,347,215,98
19161,433,277,129
18909,562,362,167
18638,666,483,213
18233,878,625,264
17702,1148,804,346
17102,1449,1002,447
16398,1763,1262,577
15484,2214,1583,719
14442,2613,2044,901
13255,3122,2436,1187
11928,3600,2934,1538
10516,3982,3565,1937
8984,4381,4202,2433
7525,4577,4867,3031
6098,4721,5534,3647
4867,4618,6130,4385
3820,4338,6685,5157
2927,3996,6998,6079
2208,3571,7246,6975
1663,3105,7296,7936
1268,2640,7177,8915
985,2166,7031,9818
764,1765,6781,10690
618,1402,6395,11585
520,1114,5935,12431
440,865,5513,13182
405,714,5012,13869
386,571,4554,14489
367,452,4117,15064
368,352,3700,15580
363,307,3275,16055
375,263,2923,16439
395,218,2587,16800
416,183,2302,17099
426,163,2046,17365
457,128,1809,17606
505,105,1599,17791
539,94,1412,17955
577,85,1237,18101
611,89,1080,18220
633,82,989,18296
669,91,884,18356
695,94,789,18422
736,80,727,18457
794,77,661,18468
834,68,607,18491
884,72,533,18511
917,77,472,18534
955,77,427,18541
1005,72,377,18546
1052,62,344,18542
1103,47,318,18532
1170,40,284,18506
1232,48,254,18466
1295,41,236,18428
1354,48,212,18386
1424,39,194,18343
1485,39,173,18303
1538,40,155,18267
1599,30,136,18235
1648,26,128,18198
1702,22,120,18156
1752,25,104,18119
1816,24,90,18070
1873,17,83,18027
1923,21,73,17983
1993,24,65,17918
2061,24,57,17858
2114,24,56,17806
2176,20,56,17748
2223,18,53,17706
2268,11,47,17674
2312,13,42,17633
2368,13,41,17578
2427,11,37,17525
2478,13,38,17471
2538,14,37,17411
2582,12,39,17367
2636,14,35,17315
2692,19,25,17264
2739,18,24,17219
2796,14,20,17170
2864,10,22,17104
2912,13,25,17050
2949,12,26,17013
2997,12,23,16968
3040,10,24,16926
3105,12,28,16855
3144,12,30,16814
3185,12,30,16773
3220,16,28,16736
3257,17,29,16697
3303,20,31,16646
3339,16,32,16613
3389,20,29,16562
3435,18,29,16518
3479,16,30,16475
3520,11,31,16438
3570,12,25,16393
3614,8,27,16351
3642,7,22,16329
3683,10,18,16289
3727,9,18,16246
3764,8,23,16205
3810,8,23,16159
3868,9,21,16102
3908,9,20,16063
3961,8,18,16013
4008,10,19,15963
4059,9,19,15913
4103,13,21,15863
4148,10,22,15820
4195,9,23,15773
4244,6,23,15727
4291,7,21,15681
4344,6,20,15630
4385,5,18,15592
4427,6,20,15547
4469,6,18,15507
4507,5,16,15472
4564,5,18,15413
4604,11,15,15370
4635,8,18,15339
4665,10,17,15308
4704,10,20,15266
4739,10,19,15232
4784,11,21,15184
4814,14,24,15148
4852,17,26,15105
4892,13,28,15067
4927,14,27,15032
4956,20,29,14995
4988,19,30,14963
5020,22,29,14929
5064,19,34,14883
5106,23,29,14842
5142,20,35,14803
5177,23,38,14762
5210,27,31,14732
5248,23,39,14690
5276,31,36,14657
5311,30,39,14620
5343,25,49,14583
5386,22,53,14539
5411,30,52,14507
5440,31,56,14473
5469,40,54,14437
5506,42,59,14393
5549,41,69,14341
5581,42,75,14302
5616,43,73,14268
5647,43,81,14229
5675,58,71,14196
5697,60,77,14166
5713,63,88,14136
5745,65,81,14109
5761,69,85,14085
5776,67,95,14062
5791,72,98,14039
5816,74,107,14003
5842,59,113,13986
5858,63,121,13958
5871,72,123,13934
5883,85,128,13904
5912,79,133,13876
5930,84,135,13851
5950,81,145,13824
5964,82,150,13804
5976,87,146,13791
5983,105,147,13765
6001,97,156,13746
6007,107,171,13715
6007,113,190,13690
5989,125,218,13668
5995,129,220,13656
5964,161,231,13644
5918,196,237,13649
5912,181,264,13643
5882,201,278,13639
5874,203,283,13640
5876,203,297,13624
5839,209,331,13621
5789,234,348,13629
5736,264,378,13622
5694,275,419,13612
5681,277,431,13611
5633,282,448,13637
5588,295,475,13642
5512,324,496,13668
5444,342,521,13693
5402,323,541,13734
5338,355,555,13752
5269,373,581,13777
5188,396,599,13817
5089,396,659,13856
5010,402,692,13896
4941,396,724,13939
4834,431,748,13987
4731,465,757,14047
4629,476,783,14112
4525,488,820,14167
4425,495,859,14221
4316,509,884,14291
4234,498,908,14360
4170,467,918,14445
4092,448,947,14513
4017,456,900,14627
3902,471,921,14706
3805,483,933,14779
3740,457,966,14837
3647,486,972,14895
3532,522,962,14984
3442,509,975,15074
3373,509,965,15153
3303,505,975,15217
3245,482,983,15290
3190,451,986,15373
3137,461,974,15428
3081,474,956,15489
3046,440,961,15553
2975,432,954,15639
2930,409,954,15707
2894,400,935,15771
2872,373,929,15826
2840,379,908,15873
2798,358,899,15945
2786,340,861,16013
2788,329,822,16061
2769,312,823,16096
2775,311,795,16119
2780,315,761,16144
2785,293,743,16179
2789,286,718,16207
2777,285,703,16235
2795,267,678,16260
2834,240,679,16247
2845,253,655,16247
2839,258,649,16254
2861,255,632,16252
2873,244,620,16263
2879,239,599,16283
2894,239,600,16267
2906,233,598,16263
2916,234,583,16267
2932,233,563,16272
2962,224,550,16264
2974,234,539,16253
3018,217,529,16236
3015,235,515,16235
3030,217,501,16252
3067,200,499,16234
3105,207,499,16189
3123,211,487,16179
3135,204,494,16167
3164,206,487,16143
3185,205,486,16124
3225,199,488,16088
3248,194,495,16063
3257,204,480,16059
3273,204,468,16055
3317,197,464,16022
3332,217,455,15996
3361,207,448,15984
3371,215,446,15968
3395,204,447,15954
3416,197,445,15942
3453,183,452,15912
3487,189,421,15903
3499,198,418,15885
3539,187,416,15858
3567,186,415,15832
3594,182,400,15824
3639,189,387,15785
3688,191,382,15739
3708,201,379,15712
3751,191,388,15670
3778,191,390,15641
