SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19961,19,20,0
19941,33,23,3
19914,47,30,9
19894,53,40,13
19866,71,46,17
19837,81,55,27
19789,110,65,36
19727,153,81,39
19645,187,122,46
19529,244,164,63
19408,301,208,83
19226,398,268,108
18983,517,358,142
18657,704,464,175
18269,915,582,234
17770,1138,776,316
17212,1385,971,432
16495,1711,1233,561
15616,2108,1568,708
14640,2502,1962,896
13431,3022,2426,1121
12100,3485,2978,1437
10553,3994,3619,1834
9106,4311,4239,2344
7608,4585,4910,2897
6188,4712,5556,3544
4944,4618,6164,4274
3868,4400,6616,5116
3015,4009,6973,6003
2301,3590,7218,6891
1762,3184,7208,7846
1325,2729,7120,8826
1050,2268,6952,9730
855,1836,6691,10618
682,1524,6308,11486
578,1246,5908,12268
489,1031,5452,13028
425,829,5037,13709
389,671,4591,14349
384,538,4167,14911
387,433,3759,15421
384,360,3327,15929
395,294,2962,16349
419,227,2657,16697
446,208,2333,17013
463,178,2101,17258
494,165,1859,17482
516,156,1642,17686
545,126,1460,17869
583,112,1298,18007
629,100,1157,18114
670,95,1048,18187
716,87,920,18277
768,90,774,18368
808,88,686,18418
843,83,616,18458
878,77,561,18484
916,78,506,18500
964,68,445,18523
1019,64,401,18516
1066,60,357,18517
1130,53,315,18502
1170,52,290,18488
1231,56,263,18450
1289,49,247,18415
1344,46,232,18378
1393,46,226,18335
1444,42,209,18305
1511,39,194,18256
1572,34,177,18217
1639,26,166,18169
1701,25,156,18118
1767,30,143,18060
1821,30,120,18029
1872,30,105,17993
1924,27,93,17956
1976,20,91,17913
2057,18,86,17839
2112,15,68,17805
2163,11,65,17761
2216,14,64,17706
2263,14,56,17667
2318,14,48,17620
2381,11,47,17561
2435,12,39,17514
2498,11,37,17454
2546,16,35,17403
2591,14,36,17359
2653,14,38,17295
2695,16,40,17249
2735,14,38,17213
2791,13,41,17155
2840,17,34,17109
2875,15,37,17073
2911,20,33,17036
2980,20,31,16969
3028,16,35,16921
3058,20,32,16890
3117,15,36,16832
3174,18,31,16777
3221,17,32,16730
3262,19,28,16691
3310,17,29,16644
3362,16,23,16599
3398,13,24,16565
3441,11,27,16521
3486,18,27,16469
3522,15,29,16434
3560,15,32,16393
3609,15,27,16349
3648,16,29,16307
3689,15,27,16269
3729,14,27,16230
3773,11,22,16194
3809,14,21,16156
3865,11,24,16100
3905,11,25,16059
3953,10,23,16014
3981,9,26,15984
4022,8,27,15943
4075,7,21,15897
4118,10,17,15855
4159,10,15,15816
4218,10,15,15757
4251,8,18,15723
4284,10,15,15691
4331,6,17,15646
4365,8,11,15616
4409,10,12,15569
4451,9,15,15525
4486,11,16,15487
4518,13,14,15455
4560,14,14,15412
4605,12,16,15367
4645,12,14,15329
4675,11,16,15298
4714,10,17,15259
4757,7,21,15215
4799,5,20,15176
4838,11,18,15133
4876,9,19,15096
4921,11,17,15051
4966,8,23,15003
5002,11,22,14965
5050,10,27,14913
5076,12,26,14886
5108,10,27,14855
5155,14,31,14800
5192,19,30,14759
5230,18,33,14719
5259,21,30,14690
5299,24,30,14647
5337,27,31,14605
5378,22,38,14562
5416,23,40,14521
5445,29,37,14489
5473,26,45,14456
5504,28,51,14417
5534,31,50,14385
5567,35,44,14354
5615,27,47,14311
5641,29,45,14285
5667,36,46,14251
5691,34,49,14226
5729,36,48,14187
5760,37,54,14149
5779,43,52,14126
5806,48,51,14095
5827,44,61,14068
5854,44,70,14032
5891,51,70,13988
5917,48,79,13956
5940,58,82,13920
5959,67,81,13893
5974,63,94,13869
5989,61,107,13843
6024,63,106,13807
6054,73,102,13771
6067,79,107,13747
6094,73,123,13710
6097,79,131,13693
