SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19968,12,20,0
19952,26,20,2
19929,43,23,5
19911,49,31,9
19878,66,44,12
19839,82,63,16
19772,121,83,24
19690,167,104,39
19593,219,135,53
19479,269,186,66
19318,358,235,89
19121,462,297,120
18897,547,405,151
18567,735,493,205
18156,940,631,273
17682,1140,829,349
17038,1472,1030,460
16254,1856,1295,595
15353,2243,1653,751
14322,2644,2074,960
13094,3134,2551,1221
11690,3650,3083,1577
10165,4159,3685,1991
8710,4404,4403,2483
7237,4659,5041,3063
5859,4721,5701,3719
4580,4676,6326,4418
3528,4401,6828,5243
2663,4057,7100,6180
2058,3513,7322,7107
1561,3031,7357,8051
1185,2504,7292,9019
917,2077,7045,9961
723,1689,6706,10882
579,1400,6225,11796
467,1140,5745,12648
424,913,5290,13373
369,744,4837,14050
360,601,4397,14642
336,473,3970,15221
348,382,3544,15726
362,294,3198,16146
376,253,2802,16569
368,225,2494,16913
389,182,2217,17212
414,163,1992,17431
441,137,1761,17661
483,120,1561,17836
535,103,1365,17997
569,95,1213,18123
609,87,1082,18222
645,81,953,18321
690,73,827,18410
727,66,740,18467
778,61,639,18522
814,60,558,18568
874,54,495,18577
924,52,444,18580
973,46,403,18578
1023,41,356,18580
1072,34,318,18576
1127,46,281,18546
1176,46,239,18539
1235,39,214,18512
1292,35,199,18474
1343,34,190,18433
1391,32,168,18409
1451,34,151,18364
1500,38,141,18321
1554,35,125,18286
1612,33,108,18247
1671,31,96,18202
1734,30,90,18146
1788,24,86,18102
1849,20,77,18054
1905,17,73,18005
1956,17,69,17958
2010,15,65,17910
2071,15,58,17856
2125,12,55,17808
2183,11,56,17750
2238,13,44,17705
2290,17,38,17655
2355,11,36,17598
2411,11,35,17543
2466,9,28,17497
2525,8,23,17444
2581,6,23,17390
2640,5,21,17334
2687,7,19,17287
2739,7,20,17234
2783,9,20,17188
2823,9,20,17148
2864,11,19,17106
2915,11,20,17054
2960,10,21,17009
3009,10,17,16964
3059,8,17,16916
3094,8,18,16880
3154,7,17,16822
3211,7,14,16768
3263,8,13,16716
3310,6,12,16672
3372,5,11,16612
3416,2,12,16570
