SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19948,25,24,3
19926,37,31,6
19901,51,36,12
19876,60,51,13
19831,93,57,19
19784,117,76,23
19710,151,105,34
19617,208,129,46
19506,258,173,63
19363,334,209,94
19169,423,292,116
18936,542,375,147
18589,732,488,191
18165,968,601,266
17663,1218,771,348
17008,1526,1017,449
16298,1809,1310,583
15390,2207,1660,743
14372,2615,2073,940
13150,3102,2528,1220
11770,3622,3038,1570
10386,3967,3632,2015
8929,4354,4166,2551
7514,4549,4823,3114
6161,4634,5499,3706
4963,4536,6080,4421
3863,4432,6484,5221
2980,4057,6908,6055
2268,3558,7239,6935
1731,3124,7310,7835
1324,2698,7207,8771
997,2294,6994,9715
805,1833,6723,10639
635,1496,6387,11482
551,1190,5965,12294
479,934,5507,13080
412,768,5046,13774
415,633,4601,14351
407,498,4180,14915
413,404,3818,15365
416,336,3416,15832
423,306,3082,16189
427,274,2778,16521
436,240,2484,16840
447,208,2227,17118
472,184,1989,17355
515,158,1780,17547
546,145,1549,17760
585,132,1365,17918
618,113,1224,18045
667,113,1077,18143
703,97,967,18233
735,84,843,18338
791,88,750,18371
823,86,660,18431
870,77,574,18479
919,71,528,18482
978,59,483,18480
1024,61,433,18482
1081,53,390,18476
1135,58,353,18454
1189,56,327,18428
1232,59,297,18412
1273,54,272,18401
1326,48,253,18373
1377,42,227,18354
1423,37,202,18338
1460,41,183,18316
1521,41,178,18260
1565,37,171,18227
1609,34,164,18193
1651,36,144,18169
1710,34,134,18122
1772,31,125,18072
1827,26,122,18025
1874,31,109,17986
1931,27,113,17929
1980,26,105,17889
2027,30,97,17846
2087,28,90,17795
2140,25,80,17755
2203,25,79,17693
2264,27,70,17639
2317,27,60,17596
2369,24,63,17544
2423,21,66,17490
2478,22,66,17434
2525,23,60,17392
2577,17,59,17347
2627,17,58,17298
2667,15,55,17263
2719,14,53,17214
2769,11,52,17168
2814,12,50,17124
2855,11,47,17087
2911,12,45,17032
2957,14,40,16989
3004,14,37,16945
3057,15,34,16894
3118,9,38,16835
3165,13,35,16787
3219,10,33,16738
3254,11,31,16704
3302,10,30,16658
3351,10,29,16610
3409,9,29,16553
3461,7,29,16503
3505,7,27,16461
3553,13,26,16408
3598,13,23,16366
3640,10,27,16323
3688,10,22,16280
3738,9,20,16233
3788,11,19,16182
3842,12,19,16127
3883,14,16,16087
3926,10,21,16043
3967,9,20,16004
4019,11,17,15953
4061,12,19,15908
4104,13,13,15870
4156,14,12,15818
4194,11,12,15783
4230,11,12,15747
4271,7,14,15708
4323,5,15,15657
4362,10,11,15617
4407,10,9,15574
4442,10,11,15537
4478,8,12,15502
4523,5,15,15457
4567,10,13,15410
4607,7,17,15369
4638,13,18,15331
4677,15,19,15289
4719,10,22,15249
4789,5,23,15183
4839,7,21,15133
4880,10,19,15091
4922,10,21,15047
4957,13,23,15007
4999,15,20,14966
5030,21,20,14929
5062,19,27,14892
5095,21,27,14857
5135,23,29,14813
5172,22,30,14776
5209,23,31,14737
5249,23,29,14699
5285,24,33,14658
5336,25,31,14608
5353,30,28,14589
5384,25,31,14560
5412,26,37,14525
5466,20,40,14474
5502,23,40,14435
5536,26,37,14401
5564,28,39,14369
5590,32,41,14337
5624,28,48,14300
5650,35,45,14270
5680,36,54,14230
5700,34,58,14208
5730,40,55,14175
5744,41,57,14158
5779,39,58,14124
5800,40,69,14091
5824,47,65,14064
5847,57,68,14028
5868,62,78,13992
5900,55,89,13956
5917,69,94,13920
5943,72,96,13889
5966,70,114,13850
5967,84,124,13825
5972,95,129,13804
5962,103,136,13799
5970,99,142,13789
5974,108,151,13767
5979,104,164,13753
5984,125,169,13722
5989,116,195,13700
5980,129,202,13689
5980,127,215,13678
5971,133,230,13666
5957,149,240,13654
5947,171,237,13645
5943,177,260,13620
5905,200,293,13602
5860,220,308,13612
5832,220,339,13609
5789,236,362,13613
5752,251,368,13629
5712,251,387,13650
5676,263,405,13656
5649,257,428,13666
5595,273,448,13684
5532,298,467,13703
5475,303,502,13720
5408,324,513,13755
5349,354,513,13784
5286,366,556,13792
5219,364,607,13810
5163,372,616,13849
5100,385,622,13893
5020,423,643,13914
4951,430,652,13967
4883,431,678,14008
4818,427,708,14047
4735,421,724,14120
4654,443,740,14163
4571,435,776,14218
4481,486,744,14289
4399,466,804,14331
4302,485,817,14396
4240,464,836,14460
4152,470,865,14513
4046,477,898,14579
3960,467,921,14652
3871,479,923,14727
3794,466,913,14827
3714,473,925,14888
3649,447,943,14961
3597,440,930,15033
3522,449,948,15081
3430,489,935,15146
3368,460,951,15221
3289,470,935,15306
3218,463,949,15370
3185,438,947,15430
3150,412,927,15511
3108,402,922,15568
3062,394,910,15634
3011,403,893,15693
2969,410,858,15763
2918,404,860,15818
2905,386,841,15868
2892,357,834,15917
2862,350,815,15973
2850,315,826,16009
2840,302,811,16047
2835,304,766,16095
2841,295,746,16118
2834,287,747,16132
2838,301,706,16155
2845,287,711,16157
2825,283,705,16187
2823,275,699,16203
2837,272,686,16205
2836,275,666,16223
2853,271,665,16211
2879,262,655,16204
2898,261,637,16204
2907,249,638,16206
2912,248,614,16226
2927,245,602,16226
2962,226,578,16234
2988,210,567,16235
3004,215,542,16239
3033,207,533,16227
3071,204,528,16197
3076,207,534,16183
3078,218,519,16185
3105,214,506,16175
3124,227,497,16152
3165,211,487,16137
3202,203,480,16115
3222,210,488,16080
3261,216,470,16053
3284,221,473,16022
3309,207,468,16016
3329,213,474,15984
3350,200,480,15970
3382,215,468,15935
