SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19964,16,20,0
19947,27,19,7
19932,33,26,9
19904,55,28,13
19879,67,39,15
19846,85,49,20
19788,122,63,27
19729,151,85,35
19659,184,118,39
19553,240,154,53
19412,314,199,75
19257,384,259,100
19033,504,348,115
18732,665,453,150
18327,868,597,208
17900,1072,752,276
17286,1398,948,368
16607,1666,1241,486
15723,2077,1548,652
14657,2548,1947,848
13430,3019,2462,1089
11996,3596,3002,1406
10613,3998,3549,1840
9091,4379,4213,2317
7610,4592,4949,2849
6174,4733,5592,3501
4940,4605,6195,4260
3794,4439,6745,5022
2917,4018,7195,5870
2173,3659,7357,6811
1643,3213,7375,7769
1234,2740,7287,8739
934,2296,7095,9675
759,1855,6760,10626
616,1466,6416,11502
534,1147,6016,12303
465,898,5543,13094
427,703,5083,13787
386,573,4662,14379
367,476,4156,15001
369,380,3734,15517
368,323,3359,15950
371,261,3000,16368
385,234,2648,16733
399,199,2366,17036
438,170,2116,17276
483,139,1878,17500
499,128,1692,17681
543,113,1504,17840
591,100,1340,17969
630,92,1201,18077
680,86,1061,18173
713,82,946,18259
743,82,849,18326
778,85,746,18391
826,75,663,18436
869,71,608,18452
911,64,540,18485
966,58,485,18491
1026,55,419,18500
1077,53,371,18499
1139,45,329,18487
1209,43,288,18460
1254,46,263,18437
1309,37,247,18407
1347,41,214,18398
1404,35,190,18371
1483,34,165,18318
1544,28,159,18269
1598,30,141,18231
1664,31,127,18178
1727,29,119,18125
1782,22,106,18090
1838,25,101,18036
1903,27,87,17983
1955,24,85,17936
1997,21,83,17899
2042,25,75,17858
2110,19,72,17799
2173,18,64,17745
2226,16,57,17701
2276,17,58,17649
2313,17,53,17617
2358,16,48,17578
2395,16,43,17546
2452,9,45,17494
2518,7,45,17430
2576,9,38,17377
2622,8,32,17338
2679,7,31,17283
2726,10,32,17232
2775,9,28,17188
2815,11,22,17152
2867,12,19,17102
2928,14,15,17043
2991,8,19,16982
3049,7,17,16927
3105,6,18,16871
3151,5,18,16826
3197,7,17,16779
3234,8,18,16740
3292,10,20,16678
3342,12,22,16624
3389,9,24,16578
3443,13,20,16524
3491,12,21,16476
3541,10,22,16427
3585,12,19,16384
3630,10,20,16340
3672,12,21,16295
3723,7,25,16245
3769,9,21,16201
3824,9,19,16148
3863,10,17,16110
3896,7,18,16079
3949,7,16,16028
3985,6,15,15994
4028,5,10,15957
4073,5,10,15912
4113,5,11,15871
4154,8,10,15828
4187,4,14,15795
4243,4,15,15738
4295,6,14,15685
4343,8,13,15636
4378,10,15,15597
4414,6,19,15561
4456,6,18,15520
4489,7,18,15486
4526,8,18,15448
4563,8,17,15412
4607,12,17,15364
4647,11,19,15323
4687,13,19,15281
4734,15,20,15231
4764,15,21,15200
4784,21,22,15173
4808,18,26,15148
4856,22,23,15099
4899,24,24,15053
4935,18,30,15017
4963,20,31,14986
4998,20,33,14949
5042,21,32,14905
5067,18,34,14881
5104,20,35,14841
5132,23,38,14807
5162,25,41,14772
5203,21,43,14733
5224,26,46,14704
5260,29,48,14663
5290,30,57,14623
5325,37,58,14580
5364,39,58,14539
5394,41,63,14502
5426,35,65,14474
5457,40,61,14442
5489,35,69,14407
5506,44,73,14377
5523,50,77,14350
5552,58,78,14312
5601,58,82,14259
5634,46,87,14233
5656,52,91,14201
5680,64,95,14161
5687,65,102,14146
5703,67,109,14121
5707,80,106,14107
5722,79,112,14087
5734,81,106,14079
5740,88,114,14058
5755,93,125,14027
5760,109,125,14006
5775,105,146,13974
5775,126,146,13953
5761,136,171,13932
5765,139,181,13915
5755,147,188,13910
5755,159,208,13878
5745,151,239,13865
