SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19957,23,20,0
19934,39,23,4
19913,47,33,7
19881,65,44,10
19848,72,66,14
19789,113,75,23
19730,140,98,32
19653,178,122,47
19554,238,151,57
19421,303,199,77
19256,379,260,105
19027,495,336,142
18751,637,434,178
18408,822,536,234
17992,997,711,300
17375,1322,909,394
16696,1638,1150,516
15873,2022,1417,688
14851,2460,1831,858
13701,2935,2258,1106
12375,3420,2811,1394
10962,3883,3387,1768
9519,4227,4014,2240
8077,4499,4701,2723
6665,4686,5260,3389
5380,4644,5929,4047
4255,4500,6412,4833
3280,4174,6836,5710
2531,3828,7061,6580
1972,3338,7147,7543
1490,2877,7146,8487
1156,2393,7044,9407
912,1942,6841,10305
734,1557,6520,11189
619,1265,6066,12050
533,1016,5617,12834
463,860,5139,13538
435,672,4652,14241
416,546,4211,14827
382,443,3831,15344
390,366,3430,15814
377,312,3036,16275
400,245,2723,16632
432,194,2423,16951
455,165,2134,17246
486,149,1897,17468
518,138,1671,17673
557,133,1488,17822
606,111,1342,17941
644,99,1179,18078
691,103,1018,18188
722,105,918,18255
759,100,825,18316
817,98,741,18344
848,92,664,18396
871,108,582,18439
914,98,536,18452
966,70,501,18463
1019,70,462,18449
1062,57,424,18457
1103,59,375,18463
1149,54,332,18465
1203,52,295,18450
1251,52,271,18426
1305,48,241,18406
1350,40,227,18383
1393,36,215,18356
1434,39,190,18337
1504,36,169,18291
1566,40,148,18246
1612,38,147,18203
1667,41,132,18160
1719,33,127,18121
1765,24,126,18085
1811,26,110,18053
1869,22,102,18007
1920,24,91,17965
1973,22,79,17926
2019,23,73,17885
2083,22,69,17826
2141,23,67,17769
2215,22,65,17698
2261,27,61,17651
2334,22,58,17586
2386,25,54,17535
2443,18,53,17486
2499,20,47,17434
2550,18,46,17386
2599,18,46,17337
2647,16,48,17289
2712,17,45,17226
2770,13,39,17178
2819,15,38,17128
2863,13,40,17084
2916,18,35,17031
2961,13,36,16990
3011,15,35,16939
3072,16,30,16882
3117,15,27,16841
3163,14,30,16793
3223,17,26,16734
3263,14,27,16696
3310,10,25,16655
3361,11,22,16606
3401,15,23,16561
3445,13,24,16518
3493,8,24,16475
3551,9,22,16418
3595,7,21,16377
3635,11,18,16336
3690,10,18,16282
3729,10,16,16245
3779,8,18,16195
3821,10,15,16154
3874,9,11,16106
3917,7,9,16067
3962,5,11,16022
4009,2,13,15976
4056,2,10,15932
4096,7,10,15887
4141,6,10,15843
4187,8,10,15795
4231,5,12,15752
4286,6,10,15698
4331,12,9,15648
4372,8,15,15605
4405,13,17,15565
4446,13,20,15521
4484,14,23,15479
4519,17,20,15444
4566,16,23,15395
4601,19,23,15357
4647,15,28,15310
